trait,target_island,method,n_individuals,corr_mean,corr_std,mse_mean,n_rows
body_mass,6,pevmean_ga,1500,0.2606207182555266,,1.5345112085342407,1
body_mass,6,pevmean_ga,2500,0.2813318512257327,,1.5079219341278076,1
body_mass,6,pevmean_ga,3000,0.2623092885215671,,1.5189905166625977,1
body_mass,6,random_individual,1500,0.18634680575876517,0.042246631438428155,1.554516863822937,5
body_mass,6,random_individual,2500,0.24613559980153782,0.037584221867134025,1.5292311191558838,5
body_mass,6,random_individual,3000,0.26758914635188846,0.02120741319525859,1.515162754058838,5
