n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction
14,1,92,0.1651418958934364,0.9880193471908569,shapley_mean,-1,1,92,9,Sleneset,4,1032463046,10,0.05
13,2,351,0.10502095617233194,0.9833207130432129,shapley_mean,-1,2,351,9,Sleneset,4,1032463046,10,0.05
12,3,1429,0.08738887409467247,0.9832543730735779,shapley_mean,-1,3,1429,9,Sleneset,4,1032463046,10,0.05
11,4,1548,0.11647942467566332,0.9773229360580444,shapley_mean,-1,4,1548,9,Sleneset,4,1032463046,10,0.05
10,5,1840,0.05968279088710292,0.9848112463951111,shapley_mean,-1,5,1840,9,Sleneset,4,1032463046,10,0.05
9,6,1998,0.11364697684419844,0.9688317179679871,shapley_mean,-1,6,1998,9,Sleneset,4,1032463046,10,0.05
8,7,2484,0.13091247509255505,0.9643632173538208,shapley_mean,-1,7,2484,9,Sleneset,4,1032463046,10,0.05
7,8,2657,0.14010732712901322,0.9617359042167664,shapley_mean,-1,8,2657,9,Sleneset,4,1032463046,10,0.05
6,9,3241,0.13643504307425652,0.9636496901512146,shapley_mean,-1,9,3241,9,Sleneset,4,1032463046,10,0.05
5,10,3824,0.14061432540730534,0.9610876441001892,shapley_mean,-1,10,3824,9,Sleneset,4,1032463046,10,0.05
4,11,4382,0.11308668138123128,0.9684123992919922,shapley_mean,-1,11,4382,9,Sleneset,4,1032463046,10,0.05
3,12,4738,0.14656080035673905,0.958285927772522,shapley_mean,-1,12,4738,9,Sleneset,4,1032463046,10,0.05
2,13,4940,0.153796738700436,0.9562059044837952,shapley_mean,-1,13,4940,9,Sleneset,4,1032463046,10,0.05
1,14,5134,0.1612998852546457,0.9550744295120239,shapley_mean,-1,14,5134,9,Sleneset,4,1032463046,10,0.05
0,15,5531,0.16881311570948587,0.954079270362854,shapley_mean,-1,15,5531,9,Sleneset,4,1032463046,10,0.05
14,1,92,0.20992059437911414,0.9831681847572327,random_individual,0,1,92,9,Sleneset,4,1032463046,10,0.05
13,2,351,0.21395015035932397,0.9755011200904846,random_individual,0,2,351,9,Sleneset,4,1032463046,10,0.05
12,3,1429,0.14525943219544826,0.9707295894622803,random_individual,0,3,1429,9,Sleneset,4,1032463046,10,0.05
11,4,1548,0.15701265911943812,0.9686636328697205,random_individual,0,4,1548,9,Sleneset,4,1032463046,10,0.05
10,5,1840,0.17786360641982563,0.9642953872680664,random_individual,0,5,1840,9,Sleneset,4,1032463046,10,0.05
9,6,1998,0.17902034773395484,0.9606569409370422,random_individual,0,6,1998,9,Sleneset,4,1032463046,10,0.05
8,7,2484,0.17844458277938652,0.9593372344970703,random_individual,0,7,2484,9,Sleneset,4,1032463046,10,0.05
7,8,2657,0.18153106791373563,0.9589689373970032,random_individual,0,8,2657,9,Sleneset,4,1032463046,10,0.05
6,9,3241,0.1923771166488431,0.9508019685745239,random_individual,0,9,3241,9,Sleneset,4,1032463046,10,0.05
5,10,3824,0.18235001064007114,0.9547860622406006,random_individual,0,10,3824,9,Sleneset,4,1032463046,10,0.05
4,11,4382,0.17327901427397774,0.9548426866531372,random_individual,0,11,4382,9,Sleneset,4,1032463046,10,0.05
3,12,4738,0.1673495612946837,0.9562065005302429,random_individual,0,12,4738,9,Sleneset,4,1032463046,10,0.05
2,13,4940,0.1773990996684748,0.9544470906257629,random_individual,0,13,4940,9,Sleneset,4,1032463046,10,0.05
1,14,5134,0.1937308917725558,0.948080837726593,random_individual,0,14,5134,9,Sleneset,4,1032463046,10,0.05
0,15,5531,0.16881311570948587,0.954079270362854,random_individual,0,15,5531,9,Sleneset,4,1032463046,10,0.05
14,1,92,-0.04233898686544765,1.0005537271499634,random_individual,1,1,92,9,Sleneset,4,1032463046,10,0.05
13,2,351,0.037984504889941734,0.9979629516601562,random_individual,1,2,351,9,Sleneset,4,1032463046,10,0.05
12,3,1429,0.05123769441346288,0.9938638210296631,random_individual,1,3,1429,9,Sleneset,4,1032463046,10,0.05
11,4,1548,0.04549468867050637,0.9937981963157654,random_individual,1,4,1548,9,Sleneset,4,1032463046,10,0.05
10,5,1840,0.05755735323452269,0.9911255836486816,random_individual,1,5,1840,9,Sleneset,4,1032463046,10,0.05
9,6,1998,0.09996196067876219,0.9826853275299072,random_individual,1,6,1998,9,Sleneset,4,1032463046,10,0.05
8,7,2484,0.13977624823609047,0.9691376686096191,random_individual,1,7,2484,9,Sleneset,4,1032463046,10,0.05
7,8,2657,0.13670241339696437,0.9711276888847351,random_individual,1,8,2657,9,Sleneset,4,1032463046,10,0.05
6,9,3241,0.13597688128223753,0.9702042937278748,random_individual,1,9,3241,9,Sleneset,4,1032463046,10,0.05
