n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,target_island
0,15,5578,0.21021340787410736,1.3560291528701782,shapley_mean,-1,0
1,14,5486,0.24444575607776642,1.3538724184036255,shapley_mean,-1,0
2,13,5328,0.20257215201854706,1.3696039915084839,shapley_mean,-1,0
3,12,5126,0.1926010251045227,1.4020386934280396,shapley_mean,-1,0
4,11,4834,0.22225888073444366,1.396255612373352,shapley_mean,-1,0
5,10,4575,0.23869729042053223,1.349549651145935,shapley_mean,-1,0
6,9,4409,0.24653324484825134,1.3539899587631226,shapley_mean,-1,0
7,8,3923,0.23727117478847504,1.3802870512008667,shapley_mean,-1,0
8,7,3567,0.21280203759670258,1.4110618829727173,shapley_mean,-1,0
9,6,3170,0.21752622723579407,1.3982878923416138,shapley_mean,-1,0
10,5,2586,0.23560796678066254,1.3852399587631226,shapley_mean,-1,0
11,4,2392,0.22667042911052704,1.4084529876708984,shapley_mean,-1,0
12,3,2219,0.19991779327392578,1.4421005249023438,shapley_mean,-1,0
13,2,1636,0.22439047694206238,1.4076515436172485,shapley_mean,-1,0
14,1,1078,0.17313876748085022,1.3976255655288696,shapley_mean,-1,0
0,15,5578,0.15346777439117432,1.3543658256530762,random_individual,0,0
1,14,5486,0.16828571259975433,1.3511325120925903,random_individual,0,0
2,13,5328,0.18103668093681335,1.4374680519104004,random_individual,0,0
3,12,5126,0.12535123527050018,1.4743553400039673,random_individual,0,0
4,11,4834,0.17961512506008148,1.354164481163025,random_individual,0,0
5,10,4575,0.20758165419101715,1.3259243965148926,random_individual,0,0
6,9,4409,0.16103489696979523,1.355817198753357,random_individual,0,0
7,8,3923,0.022395869717001915,1.4134410619735718,random_individual,0,0
8,7,3567,0.16608893871307373,1.3406232595443726,random_individual,0,0
9,6,3170,0.10292802006006241,1.3587126731872559,random_individual,0,0
10,5,2586,0.11758731305599213,1.317050576210022,random_individual,0,0
11,4,2392,0.2529474198818207,1.3006904125213623,random_individual,0,0
12,3,2219,0.3517319858074188,1.2838093042373657,random_individual,0,0
13,2,1636,0.09156201779842377,1.3257347345352173,random_individual,0,0
14,1,1078,0.33968251943588257,1.2535713911056519,random_individual,0,0
0,15,5578,0.1505538672208786,1.3847252130508423,random_individual,1,0
1,14,5486,0.17091955244541168,1.345770239830017,random_individual,1,0
2,13,5328,0.20296043157577515,1.3290151357650757,random_individual,1,0
3,12,5126,0.24527165293693542,1.415856957435608,random_individual,1,0
4,11,4834,0.28988224267959595,1.3617414236068726,random_individual,1,0
5,10,4575,0.28451961278915405,1.3161169290542603,random_individual,1,0
6,9,4409,0.2526736557483673,1.3618510961532593,random_individual,1,0
7,8,3923,0.2848353385925293,1.3545070886611938,random_individual,1,0
8,7,3567,0.24821141362190247,1.3670469522476196,random_individual,1,0
9,6,3170,0.2577379047870636,1.3947349786758423,random_individual,1,0
10,5,2586,0.17477284371852875,1.479970097541809,random_individual,1,0
11,4,2392,0.1173858642578125,1.4350332021713257,random_individual,1,0
12,3,2219,0.20782813429832458,1.3381041288375854,random_individual,1,0
13,2,1636,0.119423046708107,1.3307493925094604,random_individual,1,0
14,1,1078,0.13594473898410797,1.4236267805099487,random_individual,1,0
0,15,5578,0.20757925510406494,1.3211252689361572,random_individual,2,0
1,14,5486,0.24099847674369812,1.306602954864502,random_individual,2,0
2,13,5328,0.23832038044929504,1.3323979377746582,random_individual,2,0
3,12,5126,0.2665005028247833,1.3008404970169067,random_individual,2,0
4,11,4834,0.23673821985721588,1.3113294839859009,random_individual,2,0
5,10,4575,0.25388824939727783,1.2985090017318726,random_individual,2,0
6,9,4409,0.2662670314311981,1.3356313705444336,random_individual,2,0
7,8,3923,0.2176814079284668,1.3179526329040527,random_individual,2,0
8,7,3567,0.21908602118492126,1.3706169128417969,random_individual,2,0
9,6,3170,0.1403203159570694,1.3730697631835938,random_individual,2,0
10,5,2586,0.09895123541355133,1.3660770654678345,random_individual,2,0
11,4,2392,0.08298882097005844,1.3196347951889038,random_individual,2,0
12,3,2219,0.12661917507648468,1.3847297430038452,random_individual,2,0
13,2,1636,0.05715794861316681,1.3559309244155884,random_individual,2,0
14,1,1078,0.23578691482543945,1.3044745922088623,random_individual,2,0
0,15,5578,0.18374019861221313,1.3516491651535034,random_individual,3,0
1,14,5486,0.15038777887821198,1.3432384729385376,random_individual,3,0
2,13,5328,0.16334384679794312,1.3534170389175415,random_individual,3,0
3,12,5126,0.19132456183433533,1.363763451576233,random_individual,3,0
4,11,4834,0.20754863321781158,1.3231016397476196,random_individual,3,0
5,10,4575,0.15858253836631775,1.3360079526901245,random_individual,3,0
6,9,4409,0.27057820558547974,1.3329559564590454,random_individual,3,0
7,8,3923,0.266492635011673,1.3014097213745117,random_individual,3,0
8,7,3567,0.15972478687763214,1.4411001205444336,random_individual,3,0
9,6,3170,0.2594102919101715,1.3338385820388794,random_individual,3,0
10,5,2586,0.09935356676578522,1.3160866498947144,random_individual,3,0
11,4,2392,0.1710890531539917,1.3204631805419922,random_individual,3,0
