method,corr_mean,corr_std,corr_p05,corr_p95,mse_mean,mse_std,gain_mean,gain_std,n_repeats
minmax,0.09278745729516875,0.04738853011537441,0.014655754250300662,0.14509333263831356,1.476393735408783,0.06441203112919283,-0.01123881377067159,0.1734468938080768,10
rank,0.08497153358661931,0.04978019807848185,0.012674124078833397,0.14766847667987848,1.4791950345039369,0.06736743323985535,-0.01905473747922103,0.17427906140069255,10
softmax,0.08315084078971957,0.03534738329264697,0.026063362910635688,0.12148047750127715,1.4772347450256347,0.06200830205024289,-0.020875430276120772,0.16354193798315325,10
relu,0.08314032608771085,0.03534193538077309,0.026065205461820118,0.12146254836906453,1.4772369742393494,0.06200726295815231,-0.02088594497812949,0.16353706685744485,10
shifted_relu,0.08314032608771085,0.03534193538077309,0.026065205461820118,0.12146254836906453,1.4772369742393494,0.06200726295815231,-0.02088594497812949,0.16353706685744485,10
unweighted,0.08314032608771085,0.03534193538077309,0.026065205461820118,0.12146254836906453,1.4772369742393494,0.06200726295815231,-0.02088594497812949,0.16353706685744485,10
