trait,trait_label,unit,n_individuals,n_records,raw_mean,raw_sd,adjusted_sd,raw_adjusted_r,median_records_per_individual
body_mass,Body mass,g,5697,12084,31.389105525459556,2.030049875409861,1.1274962748668471,0.9271726618771011,1.0
thr_tarsus,Tarsus length,mm,5650,12185,19.473727558946187,0.8134425714539393,0.7648110342240378,0.9811750178663483,1.0
thr_wing,Wing length,mm,5633,12100,79.95163600169256,2.195027377091938,1.0718826167059483,0.7223617245613855,1.0
