trait,method_label,n_train_size,pearson_r_mean,pearson_r_std,n_rows,pearson_r_se
body_mass,AvgGRM,500,0.15877725373020676,0.0738041348928113,10,0.023338916699959075
body_mass,AvgGRM,1000,0.21416155520167268,0.05326990015807845,10,0.016845421522929147
body_mass,AvgGRM,1500,0.23767412569924667,0.05052031300737414,10,0.015975925720793323
body_mass,AvgGRM,2000,0.2581797700204449,0.04060484706927991,10,0.012840380078173733
body_mass,AvgGRM,2500,0.27202390642502217,0.04550372078380309,10,0.014389539968916008
body_mass,AvgGRM,3000,0.2839192660512094,0.04309407880969562,10,0.013627544270543598
body_mass,AvgGRM,3500,0.2947483565737582,0.04661020949410329,10,0.014739442421897094
body_mass,AvgGRM,4000,0.2997393515656164,0.04428426154156743,10,0.014003913096995238
body_mass,AvgGRM,4500,0.30465449652306853,0.04026362311930231,10,0.012732475590760876
body_mass,AvgGRM diversity,500,0.20052480433084136,0.030997702575568897,10,0.009802334237126535
body_mass,AvgGRM diversity,1000,0.24235876851939384,0.043713495875391126,10,0.013823421145461194
body_mass,AvgGRM diversity,1500,0.26204749605547784,0.04093718838082417,10,0.012945475628678482
body_mass,AvgGRM diversity,2000,0.26929633952542015,0.043451935607494545,10,0.013740708526265492
body_mass,AvgGRM diversity,2500,0.28345333623797914,0.04414913122648553,10,0.013961181139335739
body_mass,AvgGRM diversity,3000,0.2946858781178995,0.043064028190478054,10,0.013618041430361006
body_mass,AvgGRM diversity,3500,0.2947068405391764,0.04437895104974566,10,0.014033856548631674
body_mass,AvgGRM diversity,4000,0.3017419276274139,0.04461081009977313,10,0.014107176818052646
body_mass,AvgGRM diversity,4500,0.3035820468543478,0.04246791051781398,10,0.013429532470451288
body_mass,PEV-mean,500,0.14714348288917017,0.08137224186822065,10,0.02573216226176922
body_mass,PEV-mean,1000,0.21274952382498724,0.06782785046368041,10,0.0214490496258538
body_mass,PEV-mean,1500,0.22810280131377542,0.04267818278642407,10,0.01349602640020915
body_mass,PEV-mean,2000,0.23971691323995978,0.043783968672853904,10,0.013845706600767806
body_mass,PEV-mean,2500,0.2582851031925234,0.04785603457156772,10,0.015133406902991423
body_mass,PEV-mean,3000,0.26641470195860134,0.0529016526073911,10,0.016728971422634117
body_mass,PEV-mean,3500,0.2814490058601177,0.04208645464094833,10,0.013308905530676072
body_mass,PEV-mean,4000,0.29410296591014795,0.04179672959190554,10,0.013217286425658151
body_mass,PEV-mean,4500,0.2992234743851536,0.043178698098748365,10,0.013654303239282682
body_mass,Random,500,0.12660062539023723,0.06293684390954109,100,0.006293684390954108
body_mass,Random,1000,0.17624721958032347,0.04844109045081084,100,0.004844109045081084
body_mass,Random,1500,0.21125671614171268,0.04367661760835804,100,0.004367661760835804
body_mass,Random,2000,0.23370641155444616,0.04025793744463775,100,0.004025793744463775
body_mass,Random,2500,0.2502945967525016,0.040821524907808375,100,0.004082152490780837
body_mass,Random,3000,0.26480653762487927,0.04107056471340565,100,0.004107056471340565
body_mass,Random,3500,0.2751790803781126,0.04037587525938359,100,0.004037587525938359
body_mass,Random,4000,0.2861920028333578,0.04056684235395479,100,0.004056684235395479
body_mass,Random,4500,0.29688061888881323,0.040414767186789574,100,0.004041476718678957
thr_tarsus,AvgGRM,500,0.27070946339101853,0.0538004430282342,10,0.017013193909534666
thr_tarsus,AvgGRM,1000,0.31788078953266813,0.04832084959006391,10,0.01528039431790155
thr_tarsus,AvgGRM,1500,0.3434367692303749,0.04925592171136517,10,0.015576090085885272
thr_tarsus,AvgGRM,2000,0.3648758298125894,0.0437234285321992,10,0.013826562127334224
thr_tarsus,AvgGRM,2500,0.37524638145945355,0.0376193547075899,10,0.011896284498176167
thr_tarsus,AvgGRM,3000,0.38485722510782255,0.03818071499168441,10,0.012073802206745953
thr_tarsus,AvgGRM,3500,0.3921051394567902,0.0381772816773576,10,0.012072716497426353
thr_tarsus,AvgGRM,4000,0.39798534698172927,0.038115636638689526,10,0.012053222624562326
thr_tarsus,AvgGRM,4500,0.3998790687894947,0.036001166088615325,10,0.011384568326203966
thr_tarsus,AvgGRM diversity,500,0.26730543179429017,0.04769256512923942,10,0.015081713326431925
thr_tarsus,AvgGRM diversity,1000,0.30559459498560926,0.034142296500701025,10,0.010796742149101188
thr_tarsus,AvgGRM diversity,1500,0.3434467834438154,0.038340710716868,10,0.012124397297493004
thr_tarsus,AvgGRM diversity,2000,0.36261993537120385,0.0433628673244623,10,0.01371254266209925
thr_tarsus,AvgGRM diversity,2500,0.3775631027907095,0.03757155655059254,10,0.011881169393769172
thr_tarsus,AvgGRM diversity,3000,0.3860753910002025,0.036942739881114496,10,0.01168232010314598
thr_tarsus,AvgGRM diversity,3500,0.39095478769945613,0.03406424377141636,10,0.010772059708887982
thr_tarsus,AvgGRM diversity,4000,0.3960572514429188,0.03449773236617454,10,0.010909140838802138
thr_tarsus,AvgGRM diversity,4500,0.399890586459772,0.03399801155766247,10,0.01075111524389424
thr_tarsus,PEV-mean,500,0.24391876849106447,0.04166859827236446,10,0.013176767744722885
thr_tarsus,PEV-mean,1000,0.287392772661451,0.02726839071114791,10,0.008623022277460599
thr_tarsus,PEV-mean,1500,0.32410038319316437,0.039997143609754406,10,0.01264820737076728
thr_tarsus,PEV-mean,2000,0.34136440101173415,0.04080880906452055,10,0.01290487852428102
thr_tarsus,PEV-mean,2500,0.361157164472068,0.03783717736658774,10,0.011965166071018904
thr_tarsus,PEV-mean,3000,0.37679139375488074,0.04168774884871876,10,0.01318282368870134
thr_tarsus,PEV-mean,3500,0.37386231911341955,0.04692343377452268,10,0.014838492636356348
thr_tarsus,PEV-mean,4000,0.39309614835676226,0.039845166540606214,10,0.012600148001704762
thr_tarsus,PEV-mean,4500,0.3951109609662247,0.03881965960022909,10,0.01227585423291454
thr_tarsus,Random,500,0.21803126367955483,0.04647397277945633,100,0.004647397277945633
thr_tarsus,Random,1000,0.27907099585207024,0.04186075174402765,100,0.004186075174402765
thr_tarsus,Random,1500,0.3096113170511894,0.03754485343569036,100,0.003754485343569036
thr_tarsus,Random,2000,0.3319369194001366,0.03505067285854135,100,0.003505067285854135
thr_tarsus,Random,2500,0.34963582637734264,0.035970493732773806,100,0.0035970493732773805
thr_tarsus,Random,3000,0.3623767122087389,0.035716460896405185,100,0.0035716460896405185
thr_tarsus,Random,3500,0.3755847888286831,0.03655275404100743,100,0.0036552754041007432
thr_tarsus,Random,4000,0.3847707390278604,0.03746361848760203,100,0.0037463618487602033
thr_tarsus,Random,4500,0.393405249809778,0.036343018156833114,100,0.003634301815683311
thr_wing,AvgGRM,500,0.21909914603763575,0.0281239476325551,10,0.008893573131417436
thr_wing,AvgGRM,1000,0.25854065235927276,0.04216232166895258,10,0.013332896791456193
thr_wing,AvgGRM,1500,0.28427402092025017,0.042143125113085406,10,0.013326826307479098
thr_wing,AvgGRM,2000,0.29970102761989625,0.04134959568338856,10,0.013075890268657448
thr_wing,AvgGRM,2500,0.3116432063395703,0.03685277258677995,10,0.011653869946643988
thr_wing,AvgGRM,3000,0.32194003833927043,0.03974734219867294,10,0.012569213228593133
thr_wing,AvgGRM,3500,0.32704985466658976,0.03725577180139804,10,0.011781309487989207
thr_wing,AvgGRM,4000,0.33181860402779867,0.03520732689975546,10,0.011133534332934193
thr_wing,AvgGRM,4500,0.3356523824764581,0.03243815256646783,10,0.010257844519807479
thr_wing,AvgGRM diversity,500,0.2090822063213178,0.02481539421833733,10,0.007847316676491968
thr_wing,AvgGRM diversity,1000,0.27152740981132023,0.0338882666459175,10,0.010716410855621411
thr_wing,AvgGRM diversity,1500,0.30085795763387496,0.038555412919293076,10,0.01219229209532478
thr_wing,AvgGRM diversity,2000,0.3176378718548345,0.0323847320757987,10,0.010240951477383657
thr_wing,AvgGRM diversity,2500,0.3262311642868242,0.03135866841087022,10,0.009916481656832274
thr_wing,AvgGRM diversity,3000,0.33396477850491607,0.030497960862329445,10,0.009644302031563396
thr_wing,AvgGRM diversity,3500,0.3355749361815946,0.03451386791862988,10,0.010914243348508537
thr_wing,AvgGRM diversity,4000,0.3387831800165445,0.033981767583225374,10,0.01074597844814676
thr_wing,AvgGRM diversity,4500,0.3395316243217824,0.03225198000981107,10,0.010198971588122269
thr_wing,PEV-mean,500,0.19171285903235574,0.04406710011439346,10,0.013935240624014985
thr_wing,PEV-mean,1000,0.2359930676165297,0.030198400534227364,10,0.009549572738220404
thr_wing,PEV-mean,1500,0.2553857521226536,0.03927010549078925,10,0.012418297730597844
thr_wing,PEV-mean,2000,0.26995524751520733,0.04505671988613268,10,0.014248185873638174
thr_wing,PEV-mean,2500,0.29000880469375556,0.019760795568034076,10,0.006248912237194848
thr_wing,PEV-mean,3000,0.3059089798462321,0.03341961062038615,10,0.010568208807637302
thr_wing,PEV-mean,3500,0.3156754733803577,0.02893705633385591,10,0.009150700679558645
thr_wing,PEV-mean,4000,0.3224604156162131,0.028305350524196717,10,0.008950937762590259
thr_wing,PEV-mean,4500,0.3317266303754134,0.02751727870521459,10,0.008701727571812716
thr_wing,Random,500,0.1689641634871951,0.04100165408124032,100,0.004100165408124032
thr_wing,Random,1000,0.21724293450933146,0.034109245499280134,100,0.0034109245499280134
thr_wing,Random,1500,0.24801637052872255,0.033562612708659637,100,0.0033562612708659635
thr_wing,Random,2000,0.2706788222182095,0.03108033417682774,100,0.0031080334176827743
thr_wing,Random,2500,0.28708852776554733,0.030518041713160013,100,0.0030518041713160013
thr_wing,Random,3000,0.30135913383820984,0.03079363772840298,100,0.0030793637728402977
thr_wing,Random,3500,0.312367687327899,0.030234117528770015,100,0.0030234117528770013
thr_wing,Random,4000,0.323668887535318,0.029878852480632562,100,0.002987885248063256
thr_wing,Random,4500,0.330639092703051,0.02700946287075928,100,0.0027009462870759278
