trait,trait_label,unit,n_male,n_female,mean_male,mean_female,sex_gap,var_explained_by_sex,r_raw_adj,r_within_sex_adj
body_mass,Body mass,g,2838,2859,31.367364459343573,31.410686898540057,-0.043322439196483487,0.00011387351645709913,0.9271726618771011,0.9272271095819589
thr_tarsus,Tarsus length,mm,2814,2836,19.519675586269354,19.42813596907052,0.09153961719883341,0.003166464957137497,0.9811750178663483,0.9826463598834736
thr_wing,Wing length,mm,2806,2827,81.32584074677014,78.58763935694984,2.738201389820304,0.3891006608195468,0.7223617245613855,0.9257224513946546
