trait,target_island,shapley_r,shapley_n_individuals,shapley_n_repeats,avggrm_r,avggrm_n_train,avggrm_n_repeats,full_source_r,shapley_delta_r,avggrm_delta_r,target_island_name,trait_label,target_region
body_mass,0,0.23142727188847118,2788.0,10,0.2481193474282251,2500.0,1,0.2246453615567894,0.0067819103316817675,0.023473985871435704,Nesøy,Body mass,Northern targets
body_mass,1,0.34252589105891207,2555.5,10,0.4050396982577391,2500.0,1,0.4144714730472916,-0.07194558198837953,-0.009431774789552483,Myken,Body mass,Northern targets
body_mass,2,0.16411873579668634,2438.5,10,0.1467281987571353,2500.0,1,0.174463778894003,-0.010345043097316653,-0.027735580136867694,Træna,Body mass,Northern targets
body_mass,3,0.21580321646884726,2371.5,10,0.1887704040777482,2500.0,1,0.2055484580631074,0.010254758405739861,-0.016778053985359198,Selvær,Body mass,Northern targets
body_mass,4,0.07027174940869765,2385.5,10,0.0767985484526909,2500.0,1,0.1003555407857431,-0.03008379137704545,-0.023556992333052196,Gjerøy,Body mass,Northern targets
body_mass,5,0.15857545030490836,1768.5,10,0.174116363866603,2500.0,1,0.1655344090899467,-0.006958958785038355,0.008581954776656298,Hestmannøy,Body mass,Northern targets
body_mass,6,0.2959853534607842,2421.5,10,0.2584667151726641,2500.0,1,0.293589692465033,0.00239566099575117,-0.03512297729236891,Indre Kvarøy,Body mass,Northern targets
body_mass,7,-0.00524849921823265,2606.5,10,0.0031736660405924,2500.0,1,-0.0250775074804429,0.01982900826221025,0.0282511735210353,Onøy og Lurøy,Body mass,Northern targets
body_mass,8,0.313973895608727,2150.5,10,0.3500664605577238,2500.0,1,0.3998560521634473,-0.08588215655472026,-0.04978959160572349,Lovund,Body mass,Northern targets
body_mass,9,0.17230988611385017,2575.0,10,0.2062973474288663,2500.0,1,0.2352081010963923,-0.06289821498254214,-0.028910753667526018,Sleneset,Body mass,Northern targets
body_mass,10,0.15508816605729334,2644.0,10,0.2342257779716939,2500.0,1,0.2313936283231264,-0.07630546226583307,0.0028321496485674835,Aldra,Body mass,Northern targets
body_mass,11,0.12927139760903916,2718.5,10,0.1476502253315436,2500.0,1,0.1682952073398235,-0.03902380973078434,-0.02064498200827991,Leka,Body mass,Southern targets
body_mass,12,0.0870994674595304,2969.5,10,0.0871633003344367,2500.0,1,0.0971661089264892,-0.010066641466958806,-0.010002808592052506,Vega,Body mass,Southern targets
body_mass,13,0.11209516981821165,2233.5,10,0.1386758874745187,2500.0,1,0.119247803860543,-0.007152634042331352,0.019428083613975702,Vikna,Body mass,Southern targets
body_mass,14,0.08001046248160285,2290.5,10,0.1255077159625254,2500.0,1,0.0628412292148093,0.01716923326679355,0.06266648674771612,Lauvøya,Body mass,Southern targets
thr_tarsus,0,0.3115584199693814,2496.0,10,0.2865192767336826,2500.0,1,0.3259454936205287,-0.01438707365114733,-0.03942621688684611,Nesøy,Tarsus length,Northern targets
thr_tarsus,1,0.3659903095884412,2579.5,10,0.3576612613902012,2500.0,1,0.3472872301886113,0.018703079399829903,0.010374031201589917,Myken,Tarsus length,Northern targets
thr_tarsus,2,0.1884686312255197,2673.0,10,0.243757235549877,2500.0,1,0.2325157458316416,-0.0440471146061219,0.011241489718235381,Træna,Tarsus length,Northern targets
thr_tarsus,3,0.24743365029924907,2668.0,10,0.2867449460963501,2500.0,1,0.2796270122733111,-0.03219336197406203,0.007117933823038991,Selvær,Tarsus length,Northern targets
thr_tarsus,4,0.217857198474372,2749.5,10,0.2294553226766438,2500.0,1,0.2528392966539855,-0.034982098179613536,-0.02338397397734171,Gjerøy,Tarsus length,Northern targets
thr_tarsus,5,0.1789858918596792,2060.5,10,0.2376879699962903,2500.0,1,0.2288817023752304,-0.0498958105155512,0.008806267621059904,Hestmannøy,Tarsus length,Northern targets
thr_tarsus,6,0.3437549037303481,2522.0,10,0.3667031466656015,2500.0,1,0.3590499921684701,-0.015295088438121995,0.007653154497131387,Indre Kvarøy,Tarsus length,Northern targets
thr_tarsus,7,0.173256903108994,2653.5,10,0.1784726965034458,2500.0,1,0.2279606830373497,-0.054703779928355706,-0.049487986533903905,Onøy og Lurøy,Tarsus length,Northern targets
thr_tarsus,8,0.3489724475106521,2325.0,10,0.3911120303275153,2500.0,1,0.4221521601230941,-0.073179712612442,-0.031040129795578797,Lovund,Tarsus length,Northern targets
thr_tarsus,9,0.21420198792569164,2347.5,10,0.2237938921184784,2500.0,1,0.2596771787277623,-0.04547519080207066,-0.035883286609283915,Sleneset,Tarsus length,Northern targets
thr_tarsus,10,0.1668363119552862,2468.0,10,0.2158088613722868,2500.0,1,0.2090827719081392,-0.042246459952853005,0.0067260894641476,Aldra,Tarsus length,Northern targets
thr_tarsus,11,0.20931482498569226,2577.5,10,0.2156113605235215,2500.0,1,0.2441909721676904,-0.034876147181998135,-0.02857961164416889,Leka,Tarsus length,Southern targets
thr_tarsus,12,0.11477307329076736,2593.0,10,0.1371000351988018,2500.0,1,0.1388904391845067,-0.024117365893739334,-0.0017904039857049026,Vega,Tarsus length,Southern targets
thr_tarsus,13,0.11285763072164165,2632.5,10,0.1102929298685069,2500.0,1,0.1166764309029313,-0.003818800181289647,-0.006383501034424394,Vikna,Tarsus length,Southern targets
thr_tarsus,14,0.1435658368510052,2521.0,10,0.1527626737250822,2500.0,1,0.1556921478375866,-0.012126310986581373,-0.002929474112504382,Lauvøya,Tarsus length,Southern targets
thr_wing,0,0.122754521794537,2786.5,10,0.1614203036720354,2500.0,1,0.1908267718581572,-0.0680722500636202,-0.029406468186121804,Nesøy,Wing length,Northern targets
thr_wing,1,0.1605628050070492,2534.5,10,0.2083244058705032,2500.0,1,0.2718241968944346,-0.1112613918873854,-0.06349979102393141,Myken,Wing length,Northern targets
thr_wing,2,0.2614113835749592,2058.0,10,0.2573962254772514,2500.0,1,0.2689777141180442,-0.007566330543085031,-0.011581488640792836,Træna,Wing length,Northern targets
thr_wing,3,0.34013629173949117,2600.0,10,0.3869541923838444,2500.0,1,0.3757811863417429,-0.03564489460225173,0.011173006042101474,Selvær,Wing length,Northern targets
thr_wing,4,0.10747904313218734,2565.5,10,0.0949017547979642,2500.0,1,0.1064113631068484,0.0010676800253389407,-0.0115096083088842,Gjerøy,Wing length,Northern targets
thr_wing,5,0.1293830999705161,2278.0,10,0.1700417363543981,2500.0,1,0.16070099449867,-0.031317894528153895,0.009340741855728085,Hestmannøy,Wing length,Northern targets
thr_wing,6,0.3458738446977932,2875.0,10,0.3663234653654199,2500.0,1,0.3275227524343246,0.018351092263468594,0.03880071293109527,Indre Kvarøy,Wing length,Northern targets
thr_wing,7,0.3937230305667391,2582.5,10,0.4140229396413291,2500.0,1,0.3853768256526943,0.008346204914044753,0.028646113988634758,Onøy og Lurøy,Wing length,Northern targets
thr_wing,8,0.1742163250552419,2127.5,10,0.1767847621057107,2500.0,1,0.2011337803714734,-0.026917455316231492,-0.02434901826576269,Lovund,Wing length,Northern targets
thr_wing,9,0.14483282908128864,2566.0,10,0.1739540243906741,2500.0,1,0.1871920144426744,-0.04235918536138575,-0.013237990052000298,Sleneset,Wing length,Northern targets
thr_wing,10,0.10115494449033065,3043.0,10,0.1540876742673301,2500.0,1,0.1673000320638535,-0.06614508757352285,-0.013212357796523383,Aldra,Wing length,Northern targets
thr_wing,11,0.1332643254533242,2652.0,10,0.1181428774827136,2500.0,1,0.1432561511323564,-0.009991825679032201,-0.025113273649642803,Leka,Wing length,Southern targets
thr_wing,12,0.05032540479208755,2861.0,10,0.0355039655843242,2500.0,1,0.0560523617393723,-0.005726956947284749,-0.020548396155048103,Vega,Wing length,Southern targets
thr_wing,13,0.07076197793182604,2004.0,10,0.0781386944443564,2500.0,1,0.0977640405726447,-0.02700206264081867,-0.019625346128288312,Vikna,Wing length,Southern targets
thr_wing,14,0.1119907805360949,2485.0,10,0.1033561712034018,2500.0,1,0.1098776880824613,0.0021130924536336,-0.006521516879059497,Lauvøya,Wing length,Southern targets
