trait,method_key,n_train_size,pearson_r_median,pearson_r_mean,pearson_r_std,n_rows
body_mass,avggrm_diversity_pc_ridge,500,0.19438404332562156,0.20052480433084136,0.030997702575568897,10
body_mass,avggrm_diversity_pc_ridge,1000,0.24001236118186203,0.24235876851939384,0.043713495875391126,10
body_mass,avggrm_diversity_pc_ridge,1500,0.25013252064002833,0.26204749605547784,0.04093718838082417,10
body_mass,avggrm_diversity_pc_ridge,2000,0.25997541712614736,0.26929633952542015,0.043451935607494545,10
body_mass,avggrm_diversity_pc_ridge,2500,0.28566543116032195,0.28345333623797914,0.04414913122648553,10
body_mass,avggrm_diversity_pc_ridge,3000,0.29618679811620763,0.2946858781178995,0.043064028190478054,10
body_mass,avggrm_diversity_pc_ridge,3500,0.30612875875533135,0.2947068405391764,0.04437895104974566,10
body_mass,avggrm_diversity_pc_ridge,4000,0.3087926790009049,0.3017419276274139,0.04461081009977313,10
body_mass,avggrm_diversity_pc_ridge,4500,0.3143697820562519,0.3035820468543478,0.04246791051781398,10
body_mass,avggrm_pc_ridge,500,0.17772560100371104,0.15877725373020676,0.0738041348928113,10
body_mass,avggrm_pc_ridge,1000,0.2172940176875151,0.21416155520167268,0.05326990015807845,10
body_mass,avggrm_pc_ridge,1500,0.23678482607570667,0.23767412569924667,0.05052031300737414,10
body_mass,avggrm_pc_ridge,2000,0.2572139948692974,0.2581797700204449,0.04060484706927991,10
body_mass,avggrm_pc_ridge,2500,0.27415084063624306,0.27202390642502217,0.04550372078380309,10
body_mass,avggrm_pc_ridge,3000,0.2835522158111484,0.2839192660512094,0.04309407880969562,10
body_mass,avggrm_pc_ridge,3500,0.29815903463799787,0.2947483565737582,0.04661020949410329,10
body_mass,avggrm_pc_ridge,4000,0.3038330145902598,0.2997393515656164,0.04428426154156743,10
body_mass,avggrm_pc_ridge,4500,0.3035949564222591,0.30465449652306853,0.04026362311930231,10
body_mass,pevmean_ga_pc_ridge,500,0.14536802116608138,0.14714348288917017,0.08137224186822065,10
body_mass,pevmean_ga_pc_ridge,1000,0.2121429101266865,0.21274952382498724,0.06782785046368041,10
body_mass,pevmean_ga_pc_ridge,1500,0.22121134973360135,0.22810280131377542,0.04267818278642407,10
body_mass,pevmean_ga_pc_ridge,2000,0.25054767217114365,0.23971691323995978,0.043783968672853904,10
body_mass,pevmean_ga_pc_ridge,2500,0.2522300223750298,0.2582851031925234,0.04785603457156772,10
body_mass,pevmean_ga_pc_ridge,3000,0.27044500345162276,0.26641470195860134,0.0529016526073911,10
body_mass,pevmean_ga_pc_ridge,3500,0.28233618718678377,0.2814490058601177,0.04208645464094833,10
body_mass,pevmean_ga_pc_ridge,4000,0.29918395736089987,0.29410296591014795,0.04179672959190554,10
body_mass,pevmean_ga_pc_ridge,4500,0.3036013878134589,0.2992234743851536,0.043178698098748365,10
body_mass,random_pc_ridge,500,0.1303301964201255,0.12660062539023723,0.06293684390954109,100
body_mass,random_pc_ridge,1000,0.1770896741445917,0.17624721958032347,0.04844109045081084,100
body_mass,random_pc_ridge,1500,0.21135235606224334,0.21125671614171268,0.04367661760835804,100
body_mass,random_pc_ridge,2000,0.23250231637893787,0.23370641155444616,0.04025793744463775,100
body_mass,random_pc_ridge,2500,0.24897319361480855,0.2502945967525016,0.040821524907808375,100
body_mass,random_pc_ridge,3000,0.26328769969990606,0.26480653762487927,0.04107056471340565,100
body_mass,random_pc_ridge,3500,0.26906952062619066,0.2751790803781126,0.04037587525938359,100
body_mass,random_pc_ridge,4000,0.2859120191495568,0.2861920028333578,0.04056684235395479,100
body_mass,random_pc_ridge,4500,0.3045631901555413,0.29688061888881323,0.040414767186789574,100
thr_tarsus,avggrm_diversity_pc_ridge,500,0.24884291190160718,0.26730543179429017,0.04769256512923942,10
thr_tarsus,avggrm_diversity_pc_ridge,1000,0.3055896521820412,0.30559459498560926,0.034142296500701025,10
thr_tarsus,avggrm_diversity_pc_ridge,1500,0.3488689648387516,0.3434467834438154,0.038340710716868,10
thr_tarsus,avggrm_diversity_pc_ridge,2000,0.37408682741800653,0.36261993537120385,0.0433628673244623,10
thr_tarsus,avggrm_diversity_pc_ridge,2500,0.3744966355182989,0.3775631027907095,0.03757155655059254,10
thr_tarsus,avggrm_diversity_pc_ridge,3000,0.388514397874672,0.3860753910002025,0.036942739881114496,10
thr_tarsus,avggrm_diversity_pc_ridge,3500,0.3941544636595239,0.39095478769945613,0.03406424377141636,10
thr_tarsus,avggrm_diversity_pc_ridge,4000,0.3975612546774154,0.3960572514429188,0.03449773236617454,10
thr_tarsus,avggrm_diversity_pc_ridge,4500,0.396608676364048,0.399890586459772,0.03399801155766247,10
thr_tarsus,avggrm_pc_ridge,500,0.27507481895130437,0.27070946339101853,0.0538004430282342,10
thr_tarsus,avggrm_pc_ridge,1000,0.3267162890183627,0.31788078953266813,0.04832084959006391,10
thr_tarsus,avggrm_pc_ridge,1500,0.3505448849671728,0.3434367692303749,0.04925592171136517,10
thr_tarsus,avggrm_pc_ridge,2000,0.3814480149709397,0.3648758298125894,0.0437234285321992,10
thr_tarsus,avggrm_pc_ridge,2500,0.3832896687097207,0.37524638145945355,0.0376193547075899,10
thr_tarsus,avggrm_pc_ridge,3000,0.39334533945038685,0.38485722510782255,0.03818071499168441,10
thr_tarsus,avggrm_pc_ridge,3500,0.3960275131670352,0.3921051394567902,0.0381772816773576,10
thr_tarsus,avggrm_pc_ridge,4000,0.40159011934993827,0.39798534698172927,0.038115636638689526,10
thr_tarsus,avggrm_pc_ridge,4500,0.3996544505610042,0.3998790687894947,0.036001166088615325,10
thr_tarsus,pevmean_ga_pc_ridge,500,0.24646056131944136,0.24391876849106447,0.04166859827236446,10
thr_tarsus,pevmean_ga_pc_ridge,1000,0.28889102487575274,0.287392772661451,0.02726839071114791,10
thr_tarsus,pevmean_ga_pc_ridge,1500,0.31204487537644676,0.32410038319316437,0.039997143609754406,10
thr_tarsus,pevmean_ga_pc_ridge,2000,0.33562968348084055,0.34136440101173415,0.04080880906452055,10
thr_tarsus,pevmean_ga_pc_ridge,2500,0.35407015579100254,0.361157164472068,0.03783717736658774,10
thr_tarsus,pevmean_ga_pc_ridge,3000,0.3805284238965524,0.37679139375488074,0.04168774884871876,10
thr_tarsus,pevmean_ga_pc_ridge,3500,0.371818434209873,0.37386231911341955,0.04692343377452268,10
thr_tarsus,pevmean_ga_pc_ridge,4000,0.387838825162591,0.39309614835676226,0.039845166540606214,10
thr_tarsus,pevmean_ga_pc_ridge,4500,0.3955945523543126,0.3951109609662247,0.03881965960022909,10
thr_tarsus,random_pc_ridge,500,0.2244106644934041,0.21803126367955483,0.04647397277945633,100
thr_tarsus,random_pc_ridge,1000,0.276910115379525,0.27907099585207024,0.04186075174402765,100
thr_tarsus,random_pc_ridge,1500,0.30515037053531413,0.3096113170511894,0.03754485343569036,100
thr_tarsus,random_pc_ridge,2000,0.32893278697819617,0.3319369194001366,0.03505067285854135,100
thr_tarsus,random_pc_ridge,2500,0.3485681520787294,0.34963582637734264,0.035970493732773806,100
thr_tarsus,random_pc_ridge,3000,0.35862281831558623,0.3623767122087389,0.035716460896405185,100
thr_tarsus,random_pc_ridge,3500,0.3705836407336913,0.3755847888286831,0.03655275404100743,100
thr_tarsus,random_pc_ridge,4000,0.38127786790129137,0.3847707390278604,0.03746361848760203,100
thr_tarsus,random_pc_ridge,4500,0.3887451564116473,0.393405249809778,0.036343018156833114,100
thr_wing,avggrm_diversity_pc_ridge,500,0.2117757167644958,0.2090822063213178,0.02481539421833733,10
thr_wing,avggrm_diversity_pc_ridge,1000,0.2774925981441074,0.27152740981132023,0.0338882666459175,10
thr_wing,avggrm_diversity_pc_ridge,1500,0.3156598086798146,0.30085795763387496,0.038555412919293076,10
thr_wing,avggrm_diversity_pc_ridge,2000,0.3289837329939642,0.3176378718548345,0.0323847320757987,10
thr_wing,avggrm_diversity_pc_ridge,2500,0.3277189814602327,0.3262311642868242,0.03135866841087022,10
thr_wing,avggrm_diversity_pc_ridge,3000,0.33647545031082404,0.33396477850491607,0.030497960862329445,10
thr_wing,avggrm_diversity_pc_ridge,3500,0.34269561487514233,0.3355749361815946,0.03451386791862988,10
thr_wing,avggrm_diversity_pc_ridge,4000,0.34008640777526067,0.3387831800165445,0.033981767583225374,10
thr_wing,avggrm_diversity_pc_ridge,4500,0.34357985906144317,0.3395316243217824,0.03225198000981107,10
thr_wing,avggrm_pc_ridge,500,0.2172418501213349,0.21909914603763575,0.0281239476325551,10
thr_wing,avggrm_pc_ridge,1000,0.270962516593819,0.25854065235927276,0.04216232166895258,10
thr_wing,avggrm_pc_ridge,1500,0.2987476395337217,0.28427402092025017,0.042143125113085406,10
thr_wing,avggrm_pc_ridge,2000,0.3080136101221784,0.29970102761989625,0.04134959568338856,10
thr_wing,avggrm_pc_ridge,2500,0.3120044538373896,0.3116432063395703,0.03685277258677995,10
thr_wing,avggrm_pc_ridge,3000,0.3240066127940209,0.32194003833927043,0.03974734219867294,10
thr_wing,avggrm_pc_ridge,3500,0.3360523273810534,0.32704985466658976,0.03725577180139804,10
thr_wing,avggrm_pc_ridge,4000,0.3370708822744537,0.33181860402779867,0.03520732689975546,10
thr_wing,avggrm_pc_ridge,4500,0.3412786846676847,0.3356523824764581,0.03243815256646783,10
thr_wing,pevmean_ga_pc_ridge,500,0.1863661120292871,0.19171285903235574,0.04406710011439346,10
