target_island,target_island_name,repeat,seed,removal_fraction,n_source_train,n_test,fit_time_seconds,model,alpha_best,alpha_cv_mse_best,corr_eval,mse_adj
0,Nesøy,0,10,0.0,5578,119,243.48392706993036,ridge,50000.0,1.1931974689165752,0.12929102778434753,1.3567512035369873
0,Nesøy,0,10,0.25,4184,119,167.20735887507908,ridge,50000.0,1.2022753516832987,0.17147386074066162,1.3189737796783447
0,Nesøy,0,10,0.5,2789,119,101.72313857101835,ridge,100000.0,1.157115352153778,0.1797826588153839,1.2900750637054443
0,Nesøy,0,10,0.75,1394,119,47.951936948811635,ridge,50000.0,1.3421518842379252,0.24231760203838348,1.2963557243347168
0,Nesøy,1,1010,0.0,5578,119,240.8953618730884,ridge,100000.0,1.196534514427185,0.2017974555492401,1.2877297401428223
0,Nesøy,1,1010,0.25,4184,119,166.4471710869111,ridge,100000.0,1.2068016568819682,0.16952066123485565,1.2892777919769287
0,Nesøy,1,1010,0.5,2789,119,101.1078698229976,ridge,50000.0,1.2289506316184997,0.2881569564342499,1.2370214462280273
0,Nesøy,1,1010,0.75,1394,119,48.04691167501733,ridge,100000.0,1.251568865776062,0.09031105041503906,1.3377926349639893
0,Nesøy,2,2010,0.0,5578,119,243.47799857193604,ridge,100000.0,1.1999746322631837,0.2301095575094223,1.2758697271347046
0,Nesøy,2,2010,0.25,4184,119,168.73850700003095,ridge,50000.0,1.2097824017206829,0.18863560259342194,1.28447425365448
0,Nesøy,2,2010,0.5,2789,119,102.59823519107886,ridge,100000.0,1.1998508016268412,0.09280320256948471,1.3083598613739014
0,Nesøy,2,2010,0.75,1394,119,48.67028830293566,ridge,100000.0,1.176376752058665,0.08894168585538864,1.3049838542938232
