alpha,removal_fraction,cv_mse_mean,cv_mse_std,cv_time_mean_s,cv_time_std_s,n_trials
10000.0,0.0,1.292062865363227,0.010359886907589095,47.87757692998275,0.2781929663566526,3
50000.0,0.0,1.1978270133336386,0.004750661603051623,47.84431264308902,0.24830100457487767,3
100000.0,0.0,1.1968873540560405,0.002926852991731981,47.85179970638516,0.2624459452718586,3
500000.0,0.0,1.2173699325985379,0.0004474287005830573,47.8657506830059,0.265722540102117,3
1000000.0,0.0,1.2247962488068476,0.00015174490009610883,47.84115592436865,0.28592264101579323,3
10000.0,0.25,1.2764996568361917,0.010555939161911058,33.020333238877356,0.1884353317463857,3
50000.0,0.25,1.2078764849238925,0.004932536719667125,33.03556209903521,0.176103373237415,3
100000.0,0.25,1.2083934492535062,0.006784942180474978,33.09611671270492,0.23139845457328534,3
500000.0,0.25,1.22501486937205,0.014329206485168014,33.097768493307136,0.2770858066312684,3
1000000.0,0.25,1.2305380622545876,0.016068921846763996,33.07584706344642,0.2774104177454412,3
10000.0,0.5,1.259595337178972,0.03748697336096848,20.08790182842252,0.2216104307287941,3
50000.0,0.5,1.1960398356119792,0.03628312902871376,20.067727660605062,0.15156495530094335,3
100000.0,0.5,1.1955666581789652,0.03649830008855887,20.073484756362934,0.13048725027397445,3
500000.0,0.5,1.2087326910760667,0.036377285056690155,20.073673566415284,0.18112450158827345,3
1000000.0,0.5,1.2129193358951145,0.03624657478151208,20.164783543751884,0.10025411620700474,3
10000.0,0.75,1.3013393561045328,0.06972290132004522,9.613589340976128,0.11254070817720048,3
50000.0,0.75,1.2583879152933757,0.08087084078554965,9.463567114667967,0.07764599402827828,3
100000.0,0.75,1.257382747862074,0.08406385601953435,9.466136295581236,0.05159934789787168,3
500000.0,0.75,1.2653191857867772,0.08665103976250545,9.47926778998226,0.05614622874457249,3
1000000.0,0.75,1.2677611947059633,0.08688953132553176,9.590445471384252,0.23069232828054032,3
