target_island,target_island_name,repeat,seed,removal_fraction,n_source_train,alpha,cv_mse,cv_time_seconds,n_folds_scored
0,Nesøy,0,10,0.0,5578,10000.0,1.2809246102968852,48.03919706796296,15
0,Nesøy,0,10,0.0,5578,50000.0,1.1931974689165752,47.901215113000944,15
0,Nesøy,0,10,0.0,5578,100000.0,1.1941529154777526,47.916448910022154,15
0,Nesøy,0,10,0.0,5578,500000.0,1.2169697086016338,47.94665283290669,15
0,Nesøy,0,10,0.0,5578,1000000.0,1.22465132077535,47.91948192496784,15
0,Nesøy,0,10,0.25,4184,10000.0,1.2720705111821493,32.9728883439675,15
0,Nesøy,0,10,0.25,4184,50000.0,1.2022753516832987,32.99520355206914,15
0,Nesøy,0,10,0.25,4184,100000.0,1.2025459210077922,33.05832272209227,15
0,Nesøy,0,10,0.25,4184,500000.0,1.219219164053599,33.02064750296995,15
0,Nesøy,0,10,0.25,4184,1000000.0,1.225045915444692,33.018481080187485,15
0,Nesøy,0,10,0.5,2789,10000.0,1.2206757545471192,20.02267595520243,15
0,Nesøy,0,10,0.5,2789,50000.0,1.1571317076683045,20.06651811883785,15
0,Nesøy,0,10,0.5,2789,100000.0,1.157115352153778,20.08960244897753,15
0,Nesøy,0,10,0.5,2789,500000.0,1.1725066741307577,20.076666315086186,15
0,Nesøy,0,10,0.5,2789,1000000.0,1.1774834553400675,20.08106110501103,15
0,Nesøy,0,10,0.75,1394,10000.0,1.3700510263442993,9.718819877831265,15
0,Nesøy,0,10,0.75,1394,50000.0,1.3421518842379252,9.382972313091159,15
0,Nesøy,0,10,0.75,1394,100000.0,1.3442026257514954,9.407535573933274,15
0,Nesøy,0,10,0.75,1394,500000.0,1.3531689167022705,9.416816695127636,15
0,Nesøy,0,10,0.75,1394,1000000.0,1.3553899884223939,9.42381949420087,15
0,Nesøy,1,1010,0.0,5578,10000.0,1.2938528776168823,47.55634946399368,15
0,Nesøy,1,1010,0.0,5578,50000.0,1.1975933988889058,47.57249959814362,15
0,Nesøy,1,1010,0.0,5578,100000.0,1.196534514427185,47.56307066907175,15
0,Nesøy,1,1010,0.0,5578,500000.0,1.2172870993614198,47.568980276118964,15
0,Nesøy,1,1010,0.0,5578,1000000.0,1.22478342851003,47.52423307299614,15
0,Nesøy,1,1010,0.25,4184,10000.0,1.2885486006736755,32.860154596855864,15
0,Nesøy,1,1010,0.25,4184,50000.0,1.211571701367696,32.88314128899947,15
0,Nesøy,1,1010,0.25,4184,100000.0,1.2068016568819682,32.885941764106974,15
0,Nesøy,1,1010,0.25,4184,500000.0,1.214491339524587,32.86741299997084,15
0,Nesøy,1,1010,0.25,4184,1000000.0,1.217935276031494,32.83160442812368,15
0,Nesøy,1,1010,0.5,2789,10000.0,1.2954631368319194,19.906224373029545,15
0,Nesøy,1,1010,0.5,2789,50000.0,1.2289506316184997,19.91677109594457,15
0,Nesøy,1,1010,0.5,2789,100000.0,1.2297338207562765,19.9356873750221,15
0,Nesøy,1,1010,0.5,2789,500000.0,1.2452593803405763,19.891071235062554,15
0,Nesøy,1,1010,0.5,2789,1000000.0,1.2499255617459615,20.137407470028847,15
0,Nesøy,1,1010,0.75,1394,10000.0,1.3033196290334066,9.494941417127848,15
0,Nesøy,1,1010,0.75,1394,50000.0,1.2522521336873373,9.469846007879823,15
0,Nesøy,1,1010,0.75,1394,100000.0,1.251568865776062,9.486111460952088,15
0,Nesøy,1,1010,0.75,1394,500000.0,1.2628698706626893,9.49541704589501,15
0,Nesøy,1,1010,0.75,1394,1000000.0,1.2662633021672567,9.49377016001381,15
0,Nesøy,2,2010,0.0,5578,10000.0,1.3014111081759134,48.03718425799161,15
0,Nesøy,2,2010,0.0,5578,50000.0,1.2026901721954346,48.0592232181225,15
0,Nesøy,2,2010,0.0,5578,100000.0,1.1999746322631837,48.07587954006158,15
0,Nesøy,2,2010,0.0,5578,500000.0,1.2178529898325603,48.08161893999204,15
0,Nesøy,2,2010,0.0,5578,1000000.0,1.2249539971351624,48.07975277514197,15
0,Nesøy,2,2010,0.25,4184,10000.0,1.2688798586527505,33.22795677580871,15
0,Nesøy,2,2010,0.25,4184,50000.0,1.2097824017206829,33.228341456037015,15
0,Nesøy,2,2010,0.25,4184,100000.0,1.215832769870758,33.34408565191552,15
0,Nesøy,2,2010,0.25,4184,500000.0,1.2413341045379638,33.40524497698061,15
0,Nesøy,2,2010,0.25,4184,1000000.0,1.2486329952875772,33.377455682028085,15
0,Nesøy,2,2010,0.5,2789,10000.0,1.2626471201578775,20.33480515703559,15
0,Nesøy,2,2010,0.5,2789,50000.0,1.2020371675491333,20.219893767032772,15
0,Nesøy,2,2010,0.5,2789,100000.0,1.1998508016268412,20.195164445089176,15
0,Nesøy,2,2010,0.5,2789,500000.0,1.2084320187568665,20.253283149097115,15
0,Nesøy,2,2010,0.5,2789,1000000.0,1.2113489905993144,20.275882056215778,15
0,Nesøy,2,2010,0.75,1394,10000.0,1.2306474129358926,9.627006727969274,15
0,Nesøy,2,2010,0.75,1394,50000.0,1.1807597279548645,9.537883023032919,15
0,Nesøy,2,2010,0.75,1394,100000.0,1.176376752058665,9.504761851858348,15
0,Nesøy,2,2010,0.75,1394,500000.0,1.1799187699953715,9.525569628924131,15
0,Nesøy,2,2010,0.75,1394,1000000.0,1.181630293528239,9.853746759938076,15
