n_individuals,corr_eval,mse_adj,method,order_seed,pevmean_obj,target_island,target_island_name,repeat,repeat_seed,trait
5605,0.4427758176777955,1.5016508102416992,pevmean_ga,-2,48691.32850735934,1,Myken,0,1714262082,body_mass
5605,0.4427758176777955,1.5016508102416992,random_individual,-2,48691.32850735934,1,Myken,0,1714262082,body_mass
500,0.2026093247381183,1.705061674118042,pevmean_ga,-1,57609.32036003139,1,Myken,0,1714262082,body_mass
4500,0.43590704120715207,1.523457407951355,pevmean_ga,-1,49670.94516262388,1,Myken,0,1714262082,body_mass
500,0.11246051905278884,1.605622410774231,pevmean_ga,-1,59756.508679528095,5,Hestmannøy,0,713757009,body_mass
1000,0.09121248420400124,1.6038016080856323,pevmean_ga,-1,58366.94759808464,5,Hestmannøy,0,713757009,body_mass
3000,0.16947169017200156,1.5551866292953491,pevmean_ga,-1,54447.16394140338,5,Hestmannøy,0,713757009,body_mass
2500,0.1594730674656183,0.9743800163269043,pevmean_ga,-1,52476.39213379292,9,Sleneset,0,201727611,body_mass
4000,0.1623006337620838,0.9758486747741699,pevmean_ga,-1,50210.42755874771,9,Sleneset,0,201727611,body_mass
2000,0.14133813587933325,1.0028331279754639,pevmean_ga,-1,62302.181717657564,13,Southern 3,0,343987298,body_mass
