trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,ringnr,ringnumber,source_island,source_island_name,rank,avg_grm,weight
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N28897,8N28897,14,Southern 4,3758,-0.009074087857102746,0.7885828485196744
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N28898,8N28898,14,Southern 4,4720,-0.01192211796169883,0.6964371439295945
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N28899,8N28899,14,Southern 4,4696,-0.01183669679138233,0.6992008766278622
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N28900,8N28900,15,Southern 5,4540,-0.011438099121498324,0.7120971810173956
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N28909,8N28909,8,Lovund,982,0.00343218334733465,1.1932131121070557
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N28913,8N28913,2,Træna,2732,-0.0019974333203093175,1.0175422676568173
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N28914,8N28914,2,Træna,1743,0.0011230995199984636,1.1185045772906277
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N28915,8N28915,2,Træna,1630,0.0014174952953193544,1.1280295138780287
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N28925,8N28925,9,Sleneset,1231,0.0024324153490256155,1.1608664292253923
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N28926,8N28926,9,Sleneset,2676,-0.00180732070989874,1.0236932070059035
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N28940,8N28940,8,Lovund,1502,0.0017450317257698411,1.1386266894886636
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N28945,8N28945,2,Træna,2010,0.0003289150148016495,1.0928093816226512
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N28947,8N28947,9,Sleneset,2671,-0.0017881408905793476,1.0243137545072252
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42033,8N42033,8,Lovund,146,0.015512943837019424,1.5840763215617455
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42051,8N42051,2,Træna,645,0.004940064545420504,1.2419993855426943
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42061,8N42061,8,Lovund,620,0.005099253464451631,1.2471498139329646
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42062,8N42062,5,Hestmannøy,948,0.0035762033766025044,1.197872763369363
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42063,8N42063,9,Sleneset,858,0.00393232193647567,1.2093946906004558
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42083,8N42083,8,Lovund,2103,0.00010007521840911224,1.0854054555746746
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42086,8N42086,2,Træna,2116,6.599439253897046e-05,1.0843027980895068
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42093,8N42093,2,Træna,319,0.00855270882924678,1.3588835618824344
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42114,8N42114,8,Lovund,213,0.011785940988102324,1.4634921665809095
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42120,8N42120,8,Lovund,403,0.0071107756185872,1.3122309821032938
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42130,8N42130,9,Sleneset,613,0.005112135005684165,1.2475665857540077
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42139,8N42139,2,Træna,2097,0.00011474368594305791,1.085880041947196
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42143,8N42143,2,Træna,2968,-0.0036238778335799487,0.9649199743003899
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42144,8N42144,2,Træna,2896,-0.0030313711597827237,0.9840900472723233
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42154,8N42154,9,Sleneset,299,0.009142670646934999,1.3779712980985634
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42186,8N42186,2,Træna,838,0.004020758961793812,1.2122559988417696
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42191,8N42191,2,Træna,2025,0.0003083679226000798,1.0921445971159371
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42209,8N42209,2,Træna,1301,0.002244849722937588,1.154797895488734
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42210,8N42210,2,Træna,1268,0.0023175096289023266,1.1571487478269047
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42214,8N42214,9,Sleneset,603,0.005175755552000427,1.2496249769406942
body_mass,6,Indre Kvarøy,0,123246040,avggrm_weight_linear,linear,8N42229,8N42229,3,Selvær,2894,-0.003023900161954814,0.9843317653488747
