trait,target_island,target_island_name,source_island,source_island_name,n_island,phi_mean,phi_std,phi_per_ind_mean,phi_per_ind_std,n_repeats,rank_mean_phi_per_ind
body_mass,0,Nesøy,1,Myken,92,0.0191382608444503,0.0629246597483532,0.0002080245743961,0.0006839636929168,10,2
body_mass,0,Nesøy,2,Træna,292,-0.0194734691938732,0.0652449420061847,-6.668996299271678e-05,0.0002234415822129,10,13
body_mass,0,Nesøy,3,Selvær,194,-0.0050524881633948,0.0341405375397452,-2.6043753419561048e-05,0.0001759821522667,10,11
body_mass,0,Nesøy,4,Gjerøy,558,0.0821790180046233,0.1113289215323298,0.0001472742258147,0.0001995141962944,10,4
body_mass,0,Nesøy,5,Hestmannøy,1078,0.0571561724804966,0.1174592481425215,5.3020568163726025e-05,0.0001089603415051,10,7
body_mass,0,Nesøy,6,Indre Kvarøy,356,0.0581611434559008,0.0926394115717603,0.0001633739984716,0.0002602230662128,10,3
body_mass,0,Nesøy,7,Onøy og Lurøy,259,-0.1017540799745626,0.0567881186732385,-0.0003928728956546,0.0002192591454565,10,14
body_mass,0,Nesøy,8,Lovund,158,0.0041751317058629,0.0342687516178302,2.642488421432254e-05,0.0002168908330242,10,8
body_mass,0,Nesøy,9,Sleneset,166,0.0638239013852684,0.0320872213157444,0.0003844813336461,0.0001932965139502,10,1
body_mass,0,Nesøy,10,Aldra,173,0.0219418172863763,0.0348277973792633,0.000126831313794,0.000201316747857,10,5
body_mass,0,Nesøy,11,Leka,583,-0.0180841616433062,0.0447482215231408,-3.101914518577398e-05,7.67550969522141e-05,10,12
body_mass,0,Nesøy,12,Vega,397,0.0282729573913812,0.0472106015101398,7.121651735864286e-05,0.0001189183917131,10,6
body_mass,0,Nesøy,13,Vikna,584,-0.0029399934183043,0.02990630556948,-5.034235305315726e-06,5.1209427345000136e-05,10,10
body_mass,0,Nesøy,14,Lauvøya,688,0.010096031557302,0.0681994285407238,1.4674464472822768e-05,9.912707636733116e-05,10,9
body_mass,1,Myken,0,Nesøy,119,0.0237801686402487,0.0434868795932593,0.000199833349918,0.0003654359629685,10,4
