trait,target_island,target_island_name,repeat,split_seed,source_island,source_island_name,n_island,phi,phi_per_individual,v_full
body_mass,0,Nesøy,0,14,1,Myken,92,0.0591568972999369,0.0006430097532601,0.2542270435975078
body_mass,0,Nesøy,0,14,2,Træna,292,-0.0399236863500437,-0.0001367249532535,0.2542270435975078
body_mass,0,Nesøy,0,14,3,Selvær,194,-0.0643306883446346,-0.0003316014863125,0.2542270435975078
body_mass,0,Nesøy,0,14,4,Gjerøy,558,-0.1522522293872251,-0.0002728534576831,0.2542270435975078
body_mass,0,Nesøy,0,14,5,Hestmannøy,1078,0.1765881917860225,0.000163810938577,0.2542270435975078
body_mass,0,Nesøy,0,14,6,Indre Kvarøy,356,0.192223281658529,0.0005399530383666,0.2542270435975078
body_mass,0,Nesøy,0,14,7,Onøy og Lurøy,259,-0.1500731220100855,-0.0005794329035138,0.2542270435975078
body_mass,0,Nesøy,0,14,8,Lovund,158,0.0643963257097078,0.000407571681707,0.2542270435975078
body_mass,0,Nesøy,0,14,9,Sleneset,166,0.1206956783479122,0.0007270823996862,0.2542270435975078
body_mass,0,Nesøy,0,14,10,Aldra,173,-0.0192419209658675,-0.0001112249766813,0.2542270435975078
body_mass,0,Nesøy,0,14,11,Leka,583,0.0239115289911132,4.101462948732983e-05,0.2542270435975078
body_mass,0,Nesøy,0,14,12,Vega,397,-0.0022889330892793,-5.765574532189803e-06,0.2542270435975078
body_mass,0,Nesøy,0,14,13,Vikna,584,-0.0627980862909056,-0.0001075309696762,0.2542270435975078
body_mass,0,Nesøy,0,14,14,Lauvøya,688,0.1081638062423275,0.0001572148346545,0.2542270435975078
body_mass,0,Nesøy,1,1014,1,Myken,92,0.0314994748803112,0.0003423855965251,0.1754560307753935
body_mass,0,Nesøy,1,1014,2,Træna,292,-0.0245110731828072,-8.394203144796996e-05,0.1754560307753935
body_mass,0,Nesøy,1,1014,3,Selvær,194,0.0380769430438558,0.0001962729022879,0.1754560307753935
body_mass,0,Nesøy,1,1014,4,Gjerøy,558,0.0043699842412326,7.8315129771195e-06,0.1754560307753935
body_mass,0,Nesøy,1,1014,5,Hestmannøy,1078,0.1070744045060088,9.93269058497299e-05,0.1754560307753935
body_mass,0,Nesøy,1,1014,6,Indre Kvarøy,356,-0.0139581783146739,-3.92083660524548e-05,0.1754560307753935
body_mass,0,Nesøy,1,1014,7,Onøy og Lurøy,259,-0.0581580593421109,-0.0002245484916683,0.1754560307753935
body_mass,0,Nesøy,1,1014,8,Lovund,158,-0.0192138960356465,-0.0001216069369344,0.1754560307753935
body_mass,0,Nesøy,1,1014,9,Sleneset,166,0.0111282580521745,6.703769910948526e-05,0.1754560307753935
body_mass,0,Nesøy,1,1014,10,Aldra,173,0.0892825030460555,0.0005160838326361,0.1754560307753935
body_mass,0,Nesøy,1,1014,11,Leka,583,-0.0078204029692948,-1.341407027323294e-05,0.1754560307753935
body_mass,0,Nesøy,1,1014,12,Vega,397,0.0040220018398189,1.0130987002062813e-05,0.1754560307753935
body_mass,0,Nesøy,1,1014,13,Vikna,584,0.0146857049585201,2.514675506595916e-05,0.1754560307753935
body_mass,0,Nesøy,1,1014,14,Lauvøya,688,-0.0010216339480508,-1.4849330640274234e-06,0.1754560307753935
body_mass,0,Nesøy,2,2014,1,Myken,92,-0.0598589640687629,-0.0006506409137909,0.4375023315506889
body_mass,0,Nesøy,2,2014,2,Træna,292,-0.0442470086250131,-0.0001515308514555,0.4375023315506889
body_mass,0,Nesøy,2,2014,3,Selvær,194,-0.0425828553779552,-0.0002194992545255,0.4375023315506889
body_mass,0,Nesøy,2,2014,4,Gjerøy,558,0.1795072290269695,0.000321697543059,0.4375023315506889
body_mass,0,Nesøy,2,2014,5,Hestmannøy,1078,0.1939704418500782,0.0001799354748145,0.4375023315506889
body_mass,0,Nesøy,2,2014,6,Indre Kvarøy,356,0.1694083198419369,0.0004758660669717,0.4375023315506889
body_mass,0,Nesøy,2,2014,7,Onøy og Lurøy,259,-0.1595194403252598,-0.000615905175001,0.4375023315506889
body_mass,0,Nesøy,2,2014,8,Lovund,158,0.02272394811249,0.0001438224564081,0.4375023315506889
body_mass,0,Nesøy,2,2014,9,Sleneset,166,0.0558982971059868,0.0003367367295541,0.4375023315506889
body_mass,0,Nesøy,2,2014,10,Aldra,173,-0.0177292642047821,-0.0001024812959813,0.4375023315506889
body_mass,0,Nesøy,2,2014,11,Leka,583,0.0294393675725519,5.0496342319986125e-05,0.4375023315506889
body_mass,0,Nesøy,2,2014,12,Vega,397,0.0367500860362586,9.256948623742722e-05,0.4375023315506889
body_mass,0,Nesøy,2,2014,13,Vikna,584,0.0092022726809683,1.57573162345349e-05,0.4375023315506889
body_mass,0,Nesøy,2,2014,14,Lauvøya,688,0.0645399019252216,9.380799698433376e-05,0.4375023315506889
body_mass,0,Nesøy,3,3014,1,Myken,92,0.0535207291343982,0.0005817470558086,0.1149104326248302
body_mass,0,Nesøy,3,3014,2,Træna,292,0.0156165128884173,5.348120852197737e-05,0.1149104326248302
body_mass,0,Nesøy,3,3014,3,Selvær,194,0.0098442715817759,5.074366794729868e-05,0.1149104326248302
body_mass,0,Nesøy,3,3014,4,Gjerøy,558,0.0897877397173849,0.0001609099278089,0.1149104326248302
body_mass,0,Nesøy,3,3014,5,Hestmannøy,1078,-0.0995328795783379,-9.233105712276243e-05,0.1149104326248302
body_mass,0,Nesøy,3,3014,6,Indre Kvarøy,356,0.082047958924203,0.0002304717947309,0.1149104326248302
body_mass,0,Nesøy,3,3014,7,Onøy og Lurøy,259,-0.1720702898966282,-0.0006643640536549,0.1149104326248302
body_mass,0,Nesøy,3,3014,8,Lovund,158,-0.0093359254885161,-5.908813600326703e-05,0.1149104326248302
body_mass,0,Nesøy,3,3014,9,Sleneset,166,0.0733410774267271,0.0004418137194381,0.1149104326248302
body_mass,0,Nesøy,3,3014,10,Aldra,173,0.0284925402965184,0.0001646967647197,0.1149104326248302
body_mass,0,Nesøy,3,3014,11,Leka,583,-0.0323119271350772,-5.542354568623877e-05,0.1149104326248302
body_mass,0,Nesøy,3,3014,12,Vega,397,0.0437144273671176,0.0001101119077257,0.1149104326248302
body_mass,0,Nesøy,3,3014,13,Vikna,584,0.0398628069580462,6.825823109254497e-05,0.1149104326248302
body_mass,0,Nesøy,3,3014,14,Lauvøya,688,-0.0080666095711993,-1.1724723213952504e-05,0.1149104326248302
body_mass,0,Nesøy,4,4014,1,Myken,92,-0.0560071225095839,-0.0006087730707563,-0.0279755291709505
body_mass,0,Nesøy,4,4014,2,Træna,292,-0.0745771166987156,-0.0002554010845846,-0.0279755291709505
body_mass,0,Nesøy,4,4014,3,Selvær,194,0.0084652567299962,4.3635343969052986e-05,-0.0279755291709505
body_mass,0,Nesøy,4,4014,4,Gjerøy,558,0.0613861831308285,0.0001100110808796,-0.0279755291709505
body_mass,0,Nesøy,4,4014,5,Hestmannøy,1078,-0.1113093485471364,-0.0001032554253684,-0.0279755291709505
body_mass,0,Nesøy,4,4014,6,Indre Kvarøy,356,0.0746366138554029,0.0002096534097061,-0.0279755291709505
body_mass,0,Nesøy,4,4014,7,Onøy og Lurøy,259,-0.096206911046549,-0.0003714552550059,-0.0279755291709505
body_mass,0,Nesøy,4,4014,8,Lovund,158,0.0217028994652199,0.0001373601231975,-0.0279755291709505
body_mass,0,Nesøy,4,4014,9,Sleneset,166,0.1072767078263248,0.0006462452278694,-0.0279755291709505
body_mass,0,Nesøy,4,4014,10,Aldra,173,0.0634459728135209,0.0003667397272457,-0.0279755291709505
body_mass,0,Nesøy,4,4014,11,Leka,583,-0.0158682556682216,-2.721827730398227e-05,-0.0279755291709505
body_mass,0,Nesøy,4,4014,12,Vega,397,-0.030905787058313,-7.784833012169542e-05,-0.0279755291709505
body_mass,0,Nesøy,4,4014,13,Vikna,584,0.0153275550099788,2.624581337325146e-05,-0.0279755291709505
body_mass,0,Nesøy,4,4014,14,Lauvøya,688,0.0046578235262969,6.7700923347339084e-06,-0.0279755291709505
body_mass,0,Nesøy,5,5014,1,Myken,92,-0.0248987827644773,-0.0002706389430921,0.1492491094862244
body_mass,0,Nesøy,5,5014,2,Træna,292,-0.011304669771139,-3.871462250390072e-05,0.1492491094862244
body_mass,0,Nesøy,5,5014,3,Selvær,194,0.0463165421019322,0.000238745062381,0.1492491094862244
body_mass,0,Nesøy,5,5014,4,Gjerøy,558,0.0092979984272896,1.6663079618798682e-05,0.1492491094862244
body_mass,0,Nesøy,5,5014,5,Hestmannøy,1078,0.0230637068925018,2.139490435297015e-05,0.1492491094862244
body_mass,0,Nesøy,5,5014,6,Indre Kvarøy,356,-0.0055500857918232,-1.5590128628717014e-05,0.1492491094862244
body_mass,0,Nesøy,5,5014,7,Onøy og Lurøy,259,-0.0581866218875615,-0.0002246587717666,0.1492491094862244
body_mass,0,Nesøy,5,5014,8,Lovund,158,-0.0044627578952786,-2.824530313467483e-05,0.1492491094862244
body_mass,0,Nesøy,5,5014,9,Sleneset,166,0.034516343989986,0.0002079297830722,0.1492491094862244
body_mass,0,Nesøy,5,5014,10,Aldra,173,0.0424780772838866,0.000245538018982,0.1492491094862244
body_mass,0,Nesøy,5,5014,11,Leka,583,0.0218835337729534,3.7536078512784654e-05,0.1492491094862244
body_mass,0,Nesøy,5,5014,12,Vega,397,0.0863157499639445,0.000217420025098,0.1492491094862244
body_mass,0,Nesøy,5,5014,13,Vikna,584,0.0087586278283886,1.4997650391076493e-05,0.1492491094862244
body_mass,0,Nesøy,5,5014,14,Lauvøya,688,-0.0189785526643789,-2.758510561682991e-05,0.1492491094862244
body_mass,0,Nesøy,6,6014,1,Myken,92,0.1047706719112708,0.0011388116512094,0.2175785099374192
