trait,target_island,target_island_name,repeat,split_seed,n_islands,n_individuals,corr_eval,mse_adj,method,order_seed
body_mass,0,Nesøy,1,1014,3,459,0.05349105150905807,1.3369020223617554,random_individual,1
body_mass,0,Nesøy,1,1014,4,1537,0.08753916860434696,1.3381688594818115,random_individual,1
body_mass,0,Nesøy,1,1014,5,1703,0.11439403535859394,1.3301995992660522,random_individual,1
body_mass,0,Nesøy,1,1014,6,2287,0.1912761220188309,1.3053449392318726,random_individual,1
body_mass,0,Nesøy,1,1014,7,2684,0.2240835930445577,1.2916569709777832,random_individual,1
body_mass,0,Nesøy,1,1014,8,3242,0.23998902795257346,1.2837952375411987,random_individual,1
body_mass,0,Nesøy,1,1014,9,3930,0.20402238359453045,1.3034100532531738,random_individual,1
body_mass,0,Nesøy,1,1014,10,4513,0.17568166388949644,1.3219220638275146,random_individual,1
body_mass,0,Nesøy,1,1014,11,4869,0.24308749570641602,1.2940306663513184,random_individual,1
body_mass,0,Nesøy,1,1014,12,5161,0.2419019713525526,1.3032408952713013,random_individual,1
body_mass,0,Nesøy,1,1014,13,5319,0.2566523169539687,1.295290231704712,random_individual,1
body_mass,0,Nesøy,1,1014,14,5578,0.2247335793591955,1.310402512550354,random_individual,1
body_mass,0,Nesøy,1,1014,1,173,0.25308568819663274,1.3140583038330078,random_individual,2
body_mass,0,Nesøy,1,1014,2,265,0.17021147276503176,1.325685977935791,random_individual,2
body_mass,0,Nesøy,1,1014,3,459,0.06606965084272277,1.335123062133789,random_individual,2
body_mass,0,Nesøy,1,1014,4,1537,0.2173076550011307,1.3053213357925415,random_individual,2
body_mass,0,Nesøy,1,1014,5,1703,0.22752951458753026,1.300002932548523,random_individual,2
body_mass,0,Nesøy,1,1014,6,2287,0.18994061252170255,1.3041266202926636,random_individual,2
body_mass,0,Nesøy,1,1014,7,2684,0.17157090440770142,1.3121341466903687,random_individual,2
body_mass,0,Nesøy,1,1014,8,3242,0.21040249218343135,1.3028019666671753,random_individual,2
body_mass,0,Nesøy,1,1014,9,3930,0.22052830858838973,1.3128379583358765,random_individual,2
body_mass,0,Nesøy,1,1014,10,4513,0.2400786102091173,1.319594383239746,random_individual,2
body_mass,0,Nesøy,1,1014,11,4869,0.2508678456300008,1.302202582359314,random_individual,2
body_mass,0,Nesøy,1,1014,12,5161,0.2817763732400642,1.2853511571884155,random_individual,2
body_mass,0,Nesøy,1,1014,13,5319,0.2460631112730506,1.2975057363510132,random_individual,2
body_mass,0,Nesøy,1,1014,14,5578,0.2247335793591955,1.310402512550354,random_individual,2
body_mass,0,Nesøy,2,2014,1,356,0.2374143248953873,1.3821721076965332,random_individual,0
body_mass,0,Nesøy,2,2014,2,522,0.2691936885945601,1.3701294660568237,random_individual,0
body_mass,0,Nesøy,2,2014,3,1080,0.2914954152815225,1.3440121412277222,random_individual,0
body_mass,0,Nesøy,2,2014,4,2158,0.34243715562744403,1.345932960510254,random_individual,0
body_mass,0,Nesøy,2,2014,5,2316,0.3219841142344069,1.353948712348938,random_individual,0
body_mass,0,Nesøy,2,2014,6,3004,0.26868253860716235,1.376675009727478,random_individual,0
body_mass,0,Nesøy,2,2014,7,3401,0.20555727166801285,1.3978201150894165,random_individual,0
body_mass,0,Nesøy,2,2014,8,3984,0.20649408197921867,1.4072718620300293,random_individual,0
body_mass,0,Nesøy,2,2014,9,4568,0.19639414636781416,1.4062633514404297,random_individual,0
body_mass,0,Nesøy,2,2014,10,4741,0.20440752417339106,1.403257966041565,random_individual,0
body_mass,0,Nesøy,2,2014,11,5033,0.21279418912583284,1.4009552001953125,random_individual,0
body_mass,0,Nesøy,2,2014,12,5227,0.20333979900987129,1.4025033712387085,random_individual,0
body_mass,0,Nesøy,2,2014,13,5486,0.18834244205299608,1.4092708826065063,random_individual,0
body_mass,0,Nesøy,2,2014,14,5578,0.1786117253633831,1.4154012203216553,random_individual,0
body_mass,0,Nesøy,2,2014,1,356,0.1636196842223699,1.4140886068344116,random_individual,1
body_mass,0,Nesøy,2,2014,2,522,0.17407928408556445,1.4026026725769043,random_individual,1
body_mass,0,Nesøy,2,2014,3,1080,0.1277338852104405,1.4255377054214478,random_individual,1
body_mass,0,Nesøy,2,2014,4,2158,0.10515565804018666,1.4287391901016235,random_individual,1
body_mass,0,Nesøy,2,2014,5,2316,0.11329530860159683,1.421791672706604,random_individual,1
body_mass,0,Nesøy,2,2014,6,3004,0.11464766076039211,1.4429190158843994,random_individual,1
body_mass,0,Nesøy,2,2014,7,3401,0.15788798664739429,1.4366885423660278,random_individual,1
body_mass,0,Nesøy,2,2014,8,3984,0.14581671977483338,1.4505188465118408,random_individual,1
body_mass,0,Nesøy,2,2014,9,4568,0.1384345820683391,1.4441872835159302,random_individual,1
body_mass,0,Nesøy,2,2014,10,4741,0.16820488793549285,1.4315252304077148,random_individual,1
body_mass,0,Nesøy,2,2014,11,5033,0.1850797041707933,1.414286494255066,random_individual,1
body_mass,0,Nesøy,2,2014,12,5227,0.18925486304214043,1.4123035669326782,random_individual,1
body_mass,0,Nesøy,2,2014,13,5486,0.17966726905125294,1.4161529541015625,random_individual,1
body_mass,0,Nesøy,2,2014,14,5578,0.1786117253633831,1.4154012203216553,random_individual,1
body_mass,0,Nesøy,2,2014,1,356,0.08635334016100497,1.416584849357605,random_individual,2
body_mass,0,Nesøy,2,2014,2,522,-0.007300544467042957,1.4443535804748535,random_individual,2
body_mass,0,Nesøy,2,2014,3,1080,0.10781865878568474,1.4106817245483398,random_individual,2
body_mass,0,Nesøy,2,2014,4,2158,-0.0023937417502639317,1.4760392904281616,random_individual,2
body_mass,0,Nesøy,2,2014,5,2316,0.003657397359944399,1.4800536632537842,random_individual,2
body_mass,0,Nesøy,2,2014,6,3004,0.04694915271523465,1.4544893503189087,random_individual,2
body_mass,0,Nesøy,2,2014,7,3401,0.020209725935189538,1.4656413793563843,random_individual,2
body_mass,0,Nesøy,2,2014,8,3984,0.06517453161665851,1.4570398330688477,random_individual,2
body_mass,0,Nesøy,2,2014,9,4568,0.11247598161339924,1.4313093423843384,random_individual,2
body_mass,0,Nesøy,2,2014,10,4741,0.1429703717915265,1.4153882265090942,random_individual,2
body_mass,0,Nesøy,2,2014,11,5033,0.1828660440941432,1.4095243215560913,random_individual,2
body_mass,0,Nesøy,2,2014,12,5227,0.1814903088311038,1.409608244895935,random_individual,2
body_mass,0,Nesøy,2,2014,13,5486,0.18458126991240895,1.419456958770752,random_individual,2
body_mass,0,Nesøy,2,2014,14,5578,0.1786117253633831,1.4154012203216553,random_individual,2
body_mass,0,Nesøy,3,3014,1,92,0.07439588336759989,1.3212947845458984,random_individual,0
body_mass,0,Nesøy,3,3014,2,258,0.0968538941024725,1.3126463890075684,random_individual,0
