permutation_index,source_island,phi_running,rank_running,source_island_name,target_island,trait,repeat,split_seed
7,1,0.0257511233135202,7,Myken,0,body_mass,0,14
7,2,-0.0480959612955775,10,Træna,0,body_mass,0,14
7,3,-0.0642083537701927,12,Selvær,0,body_mass,0,14
7,4,-0.1883584097341512,14,Gjerøy,0,body_mass,0,14
7,5,0.1711249244116948,3,Hestmannøy,0,body_mass,0,14
7,6,0.240479055029049,1,Indre Kvarøy,0,body_mass,0,14
7,7,-0.1318311614553519,13,Onøy og Lurøy,0,body_mass,0,14
7,8,0.0441472256928098,5,Lovund,0,body_mass,0,14
7,9,0.0840035678819972,4,Sleneset,0,body_mass,0,14
7,10,-0.0243360330310771,9,Aldra,0,body_mass,0,14
7,11,0.0276138645561375,6,Leka,0,body_mass,0,14
7,12,-0.0020368949202304,8,Vega,0,body_mass,0,14
7,13,-0.0542918271625092,11,Vikna,0,body_mass,0,14
7,14,0.1742659240813893,2,Lauvøya,0,body_mass,0,14
8,1,0.0291432999442491,6,Myken,0,body_mass,0,14
8,2,-0.0456216590195378,10,Træna,0,body_mass,0,14
8,3,-0.0629215696378295,11,Selvær,0,body_mass,0,14
8,4,-0.17060713189628,14,Gjerøy,0,body_mass,0,14
8,5,0.1661599489806999,2,Hestmannøy,0,body_mass,0,14
8,6,0.2500198354021182,1,Indre Kvarøy,0,body_mass,0,14
8,7,-0.1349534792373448,13,Onøy og Lurøy,0,body_mass,0,14
8,8,0.0412213003666539,5,Lovund,0,body_mass,0,14
8,9,0.0879390443801529,4,Sleneset,0,body_mass,0,14
8,10,-0.0229046376639815,9,Aldra,0,body_mass,0,14
8,11,0.0277982527381946,7,Leka,0,body_mass,0,14
8,12,-0.0012911342164923,8,Vega,0,body_mass,0,14
8,13,-0.0731602704230943,12,Vikna,0,body_mass,0,14
8,14,0.1634052438799992,3,Lauvøya,0,body_mass,0,14
9,1,0.0340476430665628,7,Myken,0,body_mass,0,14
9,2,-0.0445150449342353,10,Træna,0,body_mass,0,14
9,3,-0.0580792470993119,11,Selvær,0,body_mass,0,14
9,4,-0.1692360870865171,14,Gjerøy,0,body_mass,0,14
9,5,0.1598954660494248,2,Hestmannøy,0,body_mass,0,14
9,6,0.2459132441242324,1,Indre Kvarøy,0,body_mass,0,14
9,7,-0.1314204457740729,13,Onøy og Lurøy,0,body_mass,0,14
9,8,0.0480619232766535,5,Lovund,0,body_mass,0,14
9,9,0.0892064588532408,4,Sleneset,0,body_mass,0,14
9,10,-0.0219587818340593,9,Aldra,0,body_mass,0,14
9,11,0.0366626155495132,6,Leka,0,body_mass,0,14
9,12,-0.0020652163020473,8,Vega,0,body_mass,0,14
9,13,-0.0836580638146761,12,Vikna,0,body_mass,0,14
9,14,0.1513725795228001,3,Lauvøya,0,body_mass,0,14
10,1,0.0313317072783158,7,Myken,0,body_mass,0,14
10,2,-0.0441777413738477,10,Træna,0,body_mass,0,14
10,3,-0.0539702113566149,11,Selvær,0,body_mass,0,14
10,4,-0.1590074922371152,14,Gjerøy,0,body_mass,0,14
10,5,0.1713095024767339,2,Hestmannøy,0,body_mass,0,14
10,6,0.2300218786503141,1,Indre Kvarøy,0,body_mass,0,14
10,7,-0.1282022769789664,13,Onøy og Lurøy,0,body_mass,0,14
10,8,0.0470234226268343,5,Lovund,0,body_mass,0,14
10,9,0.0855148808203831,4,Sleneset,0,body_mass,0,14
10,10,-0.0197024788352214,9,Aldra,0,body_mass,0,14
10,11,0.033228178643212,6,Leka,0,body_mass,0,14
10,12,-0.0026139137580015,8,Vega,0,body_mass,0,14
10,13,-0.078213120322545,12,Vikna,0,body_mass,0,14
10,14,0.1416847079640267,3,Lauvøya,0,body_mass,0,14
11,1,0.0526907100167274,5,Myken,0,body_mass,0,14
11,2,-0.0434067947210593,10,Træna,0,body_mass,0,14
11,3,-0.0587436930498295,11,Selvær,0,body_mass,0,14
11,4,-0.16171561860855,14,Gjerøy,0,body_mass,0,14
11,5,0.1683229356764322,2,Hestmannøy,0,body_mass,0,14
11,6,0.2281130791455798,1,Indre Kvarøy,0,body_mass,0,14
11,7,-0.1261130967292492,13,Onøy og Lurøy,0,body_mass,0,14
11,8,0.0464998515753491,6,Lovund,0,body_mass,0,14
11,9,0.0862739608313861,4,Sleneset,0,body_mass,0,14
11,10,-0.0184857617891899,9,Aldra,0,body_mass,0,14
11,11,0.0352606396531582,7,Leka,0,body_mass,0,14
11,12,-0.0033177295151944,8,Vega,0,body_mass,0,14
11,13,-0.0897609614975128,12,Vikna,0,body_mass,0,14
11,14,0.1386095226094601,3,Lauvøya,0,body_mass,0,14
12,1,0.054151047056738,5,Myken,0,body_mass,0,14
12,2,-0.0474180295633875,10,Træna,0,body_mass,0,14
12,3,-0.0546375496159202,11,Selvær,0,body_mass,0,14
12,4,-0.1592632434126707,14,Gjerøy,0,body_mass,0,14
12,5,0.1669008397141404,2,Hestmannøy,0,body_mass,0,14
12,6,0.2241623065736037,1,Indre Kvarøy,0,body_mass,0,14
12,7,-0.1323384154303558,13,Onøy og Lurøy,0,body_mass,0,14
12,8,0.0478500726482343,6,Lovund,0,body_mass,0,14
12,9,0.0924596477830022,4,Sleneset,0,body_mass,0,14
12,10,-0.0193857197347169,9,Aldra,0,body_mass,0,14
12,11,0.0327216579074206,7,Leka,0,body_mass,0,14
12,12,-0.0008666792205292,8,Vega,0,body_mass,0,14
12,13,-0.0863894341760015,12,Vikna,0,body_mass,0,14
12,14,0.1362805430679503,3,Lauvøya,0,body_mass,0,14
13,1,0.0606253510990999,5,Myken,0,body_mass,0,14
13,2,-0.0508121513530498,10,Træna,0,body_mass,0,14
13,3,-0.0524410923113498,11,Selvær,0,body_mass,0,14
13,4,-0.1656692745184919,14,Gjerøy,0,body_mass,0,14
13,5,0.1727656134028397,2,Hestmannøy,0,body_mass,0,14
13,6,0.2138646744935136,1,Indre Kvarøy,0,body_mass,0,14
13,7,-0.1297354313046255,13,Onøy og Lurøy,0,body_mass,0,14
13,8,0.0532495115664937,6,Lovund,0,body_mass,0,14
13,9,0.0898387673696543,4,Sleneset,0,body_mass,0,14
13,10,-0.0183124097393547,9,Aldra,0,body_mass,0,14
13,11,0.0301574976614544,7,Leka,0,body_mass,0,14
13,12,-0.0012875531484292,8,Vega,0,body_mass,0,14
13,13,-0.0847975310199587,12,Vikna,0,body_mass,0,14
13,14,0.1367810713997119,3,Lauvøya,0,body_mass,0,14
14,1,0.0574728572807892,6,Myken,0,body_mass,0,14
14,2,-0.0429239043044218,10,Træna,0,body_mass,0,14
14,3,-0.0640240512607613,11,Selvær,0,body_mass,0,14
14,4,-0.1600450139540089,14,Gjerøy,0,body_mass,0,14
14,5,0.1796327349907371,2,Hestmannøy,0,body_mass,0,14
14,6,0.2054021914242214,1,Indre Kvarøy,0,body_mass,0,14
14,7,-0.128018291068247,13,Onøy og Lurøy,0,body_mass,0,14
14,8,0.0621000927668103,5,Lovund,0,body_mass,0,14
14,9,0.087519536592744,4,Sleneset,0,body_mass,0,14
14,10,-0.0191532403045811,9,Aldra,0,body_mass,0,14
14,11,0.0317865736262936,7,Leka,0,body_mass,0,14
14,12,-0.0023883223379295,8,Vega,0,body_mass,0,14
14,13,-0.0839931406282977,12,Vikna,0,body_mass,0,14
14,14,0.1308590207741596,3,Lauvøya,0,body_mass,0,14
15,1,0.053925488686781,6,Myken,0,body_mass,0,14
15,2,-0.0424421325636721,10,Træna,0,body_mass,0,14
15,3,-0.0636895669007696,11,Selvær,0,body_mass,0,14
15,4,-0.1543046887307413,14,Gjerøy,0,body_mass,0,14
15,5,0.1769298307688316,2,Hestmannøy,0,body_mass,0,14
15,6,0.2176068019342136,1,Indre Kvarøy,0,body_mass,0,14
15,7,-0.1399000737808758,13,Onøy og Lurøy,0,body_mass,0,14
15,8,0.0601001553643779,5,Lovund,0,body_mass,0,14
15,9,0.0907454744997347,4,Sleneset,0,body_mass,0,14
15,10,-0.0175058423902472,9,Aldra,0,body_mass,0,14
15,11,0.029581829717418,7,Leka,0,body_mass,0,14
15,12,-0.0026477159584024,8,Vega,0,body_mass,0,14
