target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
0,4,Gjerøy,0.15247626173330495,0.0002732549493428404,558,1,1
0,5,Hestmannøy,0.1524490260275802,0.00014141839149126178,1078,2,4
0,11,Southern 1,0.04869940821577469,8.353243261710925e-05,583,3,5
0,3,Selvær,0.0394723723865801,0.0002034658370442273,194,4,3
0,9,Sleneset,0.037160932844841926,0.0002238610412339875,166,5,2
0,8,Lovund,0.01250187393485385,7.912578439780918e-05,158,6,6
0,6,Indre Kvarøy,0.009187183650272648,2.5806695646833282e-05,356,7,7
0,14,Southern 4,0.0047508449374001295,9.775401105761583e-06,486,8,8
0,15,Southern 5,-0.0017607443311444054,-8.716556094774285e-06,202,9,9
0,13,Southern 3,-0.017019040896800446,-2.914219331643912e-05,584,10,10
0,12,Southern 2,-0.01955263738851691,-4.925097578971514e-05,397,11,11
0,10,Aldra,-0.023832090825982942,-0.00013775775043920775,173,12,13
0,2,Træna,-0.035466183064029336,-0.00012145953104119636,292,13,12
0,7,Onøy og Lurøy,-0.08071377079307882,-0.000311636180668258,259,14,14
0,1,Myken,-0.08168433070222808,-0.0008878731598068269,92,15,15
