trait,method,selection_method,n_individuals,pearson_r_mean,pearson_r_std,mse_adj_mean,n_rows
thr_wing,full_train_pc_ridge,full_train,5069,0.2953326101302812,,0.8858140110969543,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,500,0.1856739306989703,,0.993763267993927,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,1000,0.2204467097563026,,0.9555655121803284,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,1500,0.2155669913736291,,0.9562119245529176,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,2000,0.2353342101259528,,0.934476375579834,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,2500,0.2650619565968561,,0.9195675849914552,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,3000,0.259335435893754,,0.919707715511322,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,3500,0.2896246726343718,,0.9073796272277832,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,4000,0.272999573117639,,0.8976429104804993,1
thr_wing,pevmean_ga_pc_ridge,pevmean_ga,4500,0.3026453885508003,,0.8844130635261536,1
