trait,target_island,target_island_name,repeat,repeat_seed,method,weight_scheme,n_components,alpha,ringnr,ringnumber,source_island,source_island_name,rank,pca_dist,weight
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19505,8L19505,3,Selvær,697,26.91040802001953,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19506,8L19506,3,Selvær,504,23.031234741210938,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19540,8L19540,3,Selvær,388,19.7432861328125,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19549,8L19549,8,Lovund,2737,82.67164611816406,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19556,8L19556,8,Lovund,446,21.54707145690918,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19559,8L19559,8,Lovund,632,25.668575286865234,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19568,8L19568,3,Selvær,789,28.704256057739258,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19569,8L19569,3,Selvær,2059,56.74760055541992,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19578,8L19578,8,Lovund,1287,39.473838806152344,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19595,8L19595,3,Selvær,1549,44.986820220947266,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19596,8L19596,2,Træna,1832,51.245384216308594,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19610,8L19610,9,Sleneset,2664,78.76921844482422,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19624,8L19624,9,Sleneset,2562,73.99958801269531,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19633,8L19633,2,Træna,1718,48.5916633605957,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19656,8L19656,3,Selvær,83,12.044251441955566,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19661,8L19661,2,Træna,1262,39.04500198364258,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19663,8L19663,7,Onøy og Lurøy,835,29.78736114501953,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19666,8L19666,7,Onøy og Lurøy,1670,47.57102584838867,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19688,8L19688,3,Selvær,2468,69.83885192871094,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19693,8L19693,2,Træna,2690,79.8702621459961,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19722,8L19722,6,Indre Kvarøy,1481,43.35453796386719,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19728,8L19728,4,Gjerøy,2867,91.02186584472656,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19729,8L19729,4,Gjerøy,2830,88.08711242675781,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19813,8L19813,5,Hestmannøy,680,26.56498908996582,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19825,8L19825,4,Gjerøy,462,21.861621856689453,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19830,8L19830,5,Hestmannøy,1593,45.842857360839844,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19835,8L19835,5,Hestmannøy,1166,36.64501190185547,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19839,8L19839,5,Hestmannøy,2380,66.724365234375,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19856,8L19856,4,Gjerøy,15,9.07275676727295,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19858,8L19858,10,Aldra,3015,104.6818618774414,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19860,8L19860,10,Aldra,2956,97.71450805664062,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19862,8L19862,6,Indre Kvarøy,851,30.119401931762695,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19877,8L19877,5,Hestmannøy,1375,41.175376892089844,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19899,8L19899,6,Indre Kvarøy,2661,78.65373229980469,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19900,8L19900,6,Indre Kvarøy,222,15.061081886291504,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19912,8L19912,5,Hestmannøy,366,19.05621337890625,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19917,8L19917,5,Hestmannøy,2720,81.59814453125,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19919,8L19919,5,Hestmannøy,2424,68.41947174072266,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19920,8L19920,5,Hestmannøy,570,24.388961791992188,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19921,8L19921,5,Hestmannøy,382,19.543331146240234,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19922,8L19922,10,Aldra,3157,127.04461669921875,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19928,8L19928,10,Aldra,3159,127.38389587402344,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19926,8L19926,10,Aldra,3061,111.63297271728516,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19930,8L19930,10,Aldra,2931,96.03409576416016,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19931,8L19931,10,Aldra,3198,135.30723571777344,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19932,8L19932,10,Aldra,2237,62.0865592956543,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19934,8L19934,5,Hestmannøy,2915,94.680419921875,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19936,8L19936,5,Hestmannøy,1799,50.365440368652344,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19937,8L19937,5,Hestmannøy,1985,54.972572326660156,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19944,8L19944,7,Onøy og Lurøy,1899,52.699119567871094,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19951,8L19951,7,Onøy og Lurøy,2197,60.913963317871094,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19952,8L19952,7,Onøy og Lurøy,3019,105.32084655761719,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19953,8L19953,7,Onøy og Lurøy,2928,95.61674499511719,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19958,8L19958,10,Aldra,3103,116.93758392333984,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19960,8L19960,10,Aldra,3024,106.12425994873047,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19961,8L19961,10,Aldra,3238,141.94163513183594,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19969,8L19969,5,Hestmannøy,255,15.991488456726074,1.0
body_mass,0,Nesøy,0,461311978,pca_source_weight_uniform,uniform,10,,8L19974,8L19974,5,Hestmannøy,2010,55.58622741699219,1.0
