n_permutations,cal_fraction,method,n_removed,corr_mean,corr_std,mse_mean,mse_std,n_rows
10,0.05,random_individual,0,0.3753274496389972,0.016147234225490366,0.8837290704250336,0.018572225749600674,50
10,0.05,random_individual,1,0.37162524387130624,0.019787175797316512,0.8863081026077271,0.01880717167673457,50
10,0.05,random_individual,2,0.36618093374849986,0.024052978502796453,0.890730859041214,0.018924698776642806,50
10,0.05,random_individual,3,0.35642644079973285,0.034360192087860245,0.8964910185337067,0.022554214485229183,50
10,0.05,random_individual,4,0.3530176158406108,0.033245624409192126,0.899273384809494,0.02232542438580139,50
10,0.05,random_individual,5,0.34417925307843533,0.037350219072949116,0.9049309730529785,0.0227457057863397,50
10,0.05,random_individual,6,0.3238466916424716,0.03995478569934417,0.9171695542335511,0.024445889620332013,50
10,0.05,random_individual,7,0.30910595705940347,0.051576556974929036,0.9252120935916901,0.023977360245931213,50
10,0.05,random_individual,8,0.28513059657276996,0.05876862622568037,0.9378106760978698,0.027379640359463983,50
10,0.05,random_individual,9,0.26676164826186505,0.05931166436050929,0.947090939283371,0.026979170586803054,50
10,0.05,random_individual,10,0.24218515618249992,0.06696680813946718,0.9591751146316528,0.023631368114500485,50
10,0.05,random_individual,11,0.2168123918291996,0.06392664260558528,0.9689664649963379,0.023409374429877953,50
10,0.05,random_individual,12,0.19992957453421345,0.06946201814795919,0.975602148771286,0.023849046100753626,50
10,0.05,random_individual,13,0.15531549227152966,0.07955956637457198,0.9893572747707366,0.019947568390965252,50
10,0.05,random_individual,14,0.08388929646500178,0.08026158757083496,1.0064181005954742,0.022822001064983864,50
10,0.05,shapley_mean,0,0.3753274496389972,0.016849612909176876,0.8837290704250336,0.01938008765913692,10
10,0.05,shapley_mean,1,0.3647337694244448,0.021599780713991854,0.8929498851299286,0.021383816436295968,10
10,0.05,shapley_mean,2,0.34441753257099783,0.022193745839472357,0.9036605000495911,0.018454981568401866,10
10,0.05,shapley_mean,3,0.33726537008820623,0.027836403319043506,0.9072825968265533,0.019448458194019275,10
10,0.05,shapley_mean,4,0.3293609361559827,0.03552297423049319,0.9120659351348877,0.024739919504828296,10
10,0.05,shapley_mean,5,0.31702075206711944,0.04253338575618263,0.9174252092838288,0.026467072400411844,10
10,0.05,shapley_mean,6,0.2965727767799894,0.04599874534294395,0.9280523121356964,0.025415144945676,10
10,0.05,shapley_mean,7,0.29162623351805506,0.054078262378665046,0.9325593888759613,0.027447458662532627,10
10,0.05,shapley_mean,8,0.2771697511403253,0.05588852039190679,0.9394656300544739,0.030003498398877962,10
10,0.05,shapley_mean,9,0.2676317351244256,0.04291519779894971,0.9433690667152405,0.02637143048477366,10
10,0.05,shapley_mean,10,0.26368897740497543,0.030046633996437255,0.9474661946296692,0.022456554780747064,10
10,0.05,shapley_mean,11,0.2386898350916192,0.03467527191970352,0.9577226400375366,0.020608795432202783,10
10,0.05,shapley_mean,12,0.20755544854605942,0.0684250589804633,0.968042504787445,0.01993516415958948,10
10,0.05,shapley_mean,13,0.17149338139511716,0.08181832875251953,0.9796763598918915,0.020244512614982606,10
10,0.05,shapley_mean,14,0.13006017369558837,0.09515995291801328,0.9987292289733887,0.02280373143685528,10
10,0.1,random_individual,0,0.35462977881097707,0.04477123599871401,0.8829595923423768,0.019783252865579217,50
10,0.1,random_individual,1,0.35177035329197814,0.046064268481657636,0.8851708316802979,0.02047288078702388,50
10,0.1,random_individual,2,0.3486674068369255,0.04886610162433645,0.8874183130264283,0.02050679906469891,50
10,0.1,random_individual,3,0.34218845068737136,0.05315065126967173,0.8907856690883637,0.019635898329755735,50
10,0.1,random_individual,4,0.33221531220336337,0.057511117324717254,0.896866991519928,0.0223090299405147,50
10,0.1,random_individual,5,0.32122010822606206,0.0636442626630195,0.9026297056674957,0.023857579983160786,50
10,0.1,random_individual,6,0.3091946974455886,0.06513859245878469,0.9096132946014405,0.02404935311613705,50
10,0.1,random_individual,7,0.29764665387152517,0.07191417170948534,0.9158092772960663,0.025359340836761023,50
10,0.1,random_individual,8,0.2809215397256738,0.07825504558120012,0.9261468267440796,0.026795922114837202,50
10,0.1,random_individual,9,0.2658582839200377,0.08152303663298976,0.933154821395874,0.02745188012021955,50
10,0.1,random_individual,10,0.24355060910146004,0.07727741076797967,0.9430633795261383,0.022774128242392083,50
10,0.1,random_individual,11,0.2116636940615479,0.08472122811872436,0.9541578161716461,0.023114533797595364,50
10,0.1,random_individual,12,0.1744850271528706,0.08657905794097337,0.9702108228206634,0.02623453819549528,50
10,0.1,random_individual,13,0.14918091096819877,0.07959926400278079,0.9797963798046112,0.022273786605653465,50
10,0.1,random_individual,14,0.09891247091432107,0.09015084374773134,0.9941646718978882,0.024303446034908267,50
10,0.1,shapley_mean,0,0.354629778810977,0.04671871266057811,0.8829595923423768,0.020643792504301234,10
10,0.1,shapley_mean,1,0.34364159317289833,0.042999824896534464,0.8909976482391357,0.020741671559041774,10
10,0.1,shapley_mean,2,0.3412075283598298,0.04015462581783115,0.8926188170909881,0.022127547612226347,10
10,0.1,shapley_mean,3,0.3258358675546422,0.04398762918898662,0.9010086834430695,0.025302220802830656,10
10,0.1,shapley_mean,4,0.3310453618815906,0.04575804955169703,0.899726152420044,0.0269073915923144,10
