n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,cal_fraction
14,1,173,0.014924382334884303,0.9940191507339478,shapley_mean,-1,1,173,8,Lovund,0,8000514,10,0.05
13,2,570,-0.02178007565869271,0.9774158596992493,shapley_mean,-1,2,570,8,Lovund,0,8000514,10,0.05
12,3,1153,0.0630332894646006,0.9695796370506287,shapley_mean,-1,3,1153,8,Lovund,0,8000514,10,0.05
11,4,1347,0.21569053452406084,0.9438276290893555,shapley_mean,-1,4,1347,8,Lovund,0,8000514,10,0.05
10,5,1703,0.29546320606321796,0.9186446070671082,shapley_mean,-1,5,1703,8,Lovund,0,8000514,10,0.05
9,6,2781,0.3325778471865239,0.8956688642501831,shapley_mean,-1,6,2781,8,Lovund,0,8000514,10,0.05
8,7,2947,0.37674370907996474,0.8754571676254272,shapley_mean,-1,7,2947,8,Lovund,0,8000514,10,0.05
7,8,3531,0.38161252971890086,0.872912585735321,shapley_mean,-1,8,3531,8,Lovund,0,8000514,10,0.05
6,9,4017,0.352233445223117,0.877956748008728,shapley_mean,-1,9,4017,8,Lovund,0,8000514,10,0.05
5,10,4575,0.3729565750772237,0.8665990829467773,shapley_mean,-1,10,4575,8,Lovund,0,8000514,10,0.05
4,11,4777,0.37421282034247744,0.8665241003036499,shapley_mean,-1,11,4777,8,Lovund,0,8000514,10,0.05
3,12,5036,0.3693300275862675,0.8714998960494995,shapley_mean,-1,12,5036,8,Lovund,0,8000514,10,0.05
2,13,5155,0.3721714348545202,0.8698028326034546,shapley_mean,-1,13,5155,8,Lovund,0,8000514,10,0.05
1,14,5447,0.4036871527350591,0.85080885887146,shapley_mean,-1,14,5447,8,Lovund,0,8000514,10,0.05
0,15,5539,0.38948237525688817,0.8507266044616699,shapley_mean,-1,15,5539,8,Lovund,0,8000514,10,0.05
14,1,173,0.0720269832314664,0.9988641738891602,random_individual,0,1,173,8,Lovund,0,8000514,10,0.05
13,2,570,0.21047191250508507,0.9556779861450195,random_individual,0,2,570,8,Lovund,0,8000514,10,0.05
12,3,1153,0.272198584115072,0.9240144491195679,random_individual,0,3,1153,8,Lovund,0,8000514,10,0.05
11,4,1347,0.3001562095226267,0.9142608642578125,random_individual,0,4,1347,8,Lovund,0,8000514,10,0.05
10,5,1703,0.3300721032733726,0.9098286628723145,random_individual,0,5,1703,8,Lovund,0,8000514,10,0.05
9,6,2781,0.3531354571726264,0.8879709839820862,random_individual,0,6,2781,8,Lovund,0,8000514,10,0.05
8,7,2947,0.3598572452620273,0.8844761848449707,random_individual,0,7,2947,8,Lovund,0,8000514,10,0.05
7,8,3531,0.3759850631485881,0.8716986179351807,random_individual,0,8,3531,8,Lovund,0,8000514,10,0.05
6,9,4017,0.3724148476639887,0.8578642010688782,random_individual,0,9,4017,8,Lovund,0,8000514,10,0.05
5,10,4575,0.3614294444068228,0.8633832931518555,random_individual,0,10,4575,8,Lovund,0,8000514,10,0.05
4,11,4777,0.36398685987653195,0.8606266379356384,random_individual,0,11,4777,8,Lovund,0,8000514,10,0.05
3,12,5036,0.36190005195127795,0.861061155796051,random_individual,0,12,5036,8,Lovund,0,8000514,10,0.05
2,13,5155,0.3600057490000385,0.8635401725769043,random_individual,0,13,5155,8,Lovund,0,8000514,10,0.05
1,14,5447,0.3790158553183242,0.8547453284263611,random_individual,0,14,5447,8,Lovund,0,8000514,10,0.05
0,15,5539,0.38948237525688817,0.8507266044616699,random_individual,0,15,5539,8,Lovund,0,8000514,10,0.05
14,1,173,0.09682926347505336,0.9722035527229309,random_individual,1,1,173,8,Lovund,0,8000514,10,0.05
13,2,570,0.1854758360580216,0.9517096877098083,random_individual,1,2,570,8,Lovund,0,8000514,10,0.05
12,3,1153,0.13039915653962883,0.9550239443778992,random_individual,1,3,1153,8,Lovund,0,8000514,10,0.05
11,4,1347,0.1777685487887016,0.9452223777770996,random_individual,1,4,1347,8,Lovund,0,8000514,10,0.05
10,5,1703,0.24246430285860276,0.9283768534660339,random_individual,1,5,1703,8,Lovund,0,8000514,10,0.05
9,6,2781,0.3030364564135405,0.9057919383049011,random_individual,1,6,2781,8,Lovund,0,8000514,10,0.05
8,7,2947,0.32499704817167535,0.8968726992607117,random_individual,1,7,2947,8,Lovund,0,8000514,10,0.05
7,8,3531,0.384747007069147,0.8694967031478882,random_individual,1,8,3531,8,Lovund,0,8000514,10,0.05
6,9,4017,0.38734286952406677,0.8645269870758057,random_individual,1,9,4017,8,Lovund,0,8000514,10,0.05
5,10,4575,0.3990373305152351,0.853062093257904,random_individual,1,10,4575,8,Lovund,0,8000514,10,0.05
4,11,4777,0.39084733341231065,0.8549541234970093,random_individual,1,11,4777,8,Lovund,0,8000514,10,0.05
3,12,5036,0.3985016506341091,0.8508545160293579,random_individual,1,12,5036,8,Lovund,0,8000514,10,0.05
2,13,5155,0.39575089718223283,0.8516637682914734,random_individual,1,13,5155,8,Lovund,0,8000514,10,0.05
1,14,5447,0.38414751288988574,0.8530198931694031,random_individual,1,14,5447,8,Lovund,0,8000514,10,0.05
0,15,5539,0.38948237525688817,0.8507266044616699,random_individual,1,15,5539,8,Lovund,0,8000514,10,0.05
14,1,173,0.13872470468828102,0.9667168259620667,random_individual,2,1,173,8,Lovund,0,8000514,10,0.05
13,2,570,0.18776475490378097,0.9546003341674805,random_individual,2,2,570,8,Lovund,0,8000514,10,0.05
12,3,1153,0.24492915327078643,0.9379865527153015,random_individual,2,3,1153,8,Lovund,0,8000514,10,0.05
11,4,1347,0.2672241271352845,0.9247024059295654,random_individual,2,4,1347,8,Lovund,0,8000514,10,0.05
10,5,1703,0.33505789775007827,0.9093210697174072,random_individual,2,5,1703,8,Lovund,0,8000514,10,0.05
9,6,2781,0.36034287151789507,0.8894721865653992,random_individual,2,6,2781,8,Lovund,0,8000514,10,0.05
8,7,2947,0.3827427100461606,0.8788508772850037,random_individual,2,7,2947,8,Lovund,0,8000514,10,0.05
7,8,3531,0.34590442889862755,0.8868305087089539,random_individual,2,8,3531,8,Lovund,0,8000514,10,0.05
6,9,4017,0.35624421079358265,0.8771216869354248,random_individual,2,9,4017,8,Lovund,0,8000514,10,0.05
5,10,4575,0.3454998157099234,0.8758525848388672,random_individual,2,10,4575,8,Lovund,0,8000514,10,0.05
4,11,4777,0.3501753622288367,0.8707442879676819,random_individual,2,11,4777,8,Lovund,0,8000514,10,0.05
3,12,5036,0.36770180183332035,0.8633794784545898,random_individual,2,12,5036,8,Lovund,0,8000514,10,0.05
2,13,5155,0.3736511408168836,0.859776496887207,random_individual,2,13,5155,8,Lovund,0,8000514,10,0.05
1,14,5447,0.395572168002951,0.8493613004684448,random_individual,2,14,5447,8,Lovund,0,8000514,10,0.05
0,15,5539,0.38948237525688817,0.8507266044616699,random_individual,2,15,5539,8,Lovund,0,8000514,10,0.05
14,1,173,0.08521309074228953,0.9699652194976807,random_individual,3,1,173,8,Lovund,0,8000514,10,0.05
13,2,570,0.2578305555650715,0.9495499730110168,random_individual,3,2,570,8,Lovund,0,8000514,10,0.05
12,3,1153,0.34055490629042817,0.910783588886261,random_individual,3,3,1153,8,Lovund,0,8000514,10,0.05
11,4,1347,0.3284959505588416,0.9125697612762451,random_individual,3,4,1347,8,Lovund,0,8000514,10,0.05
10,5,1703,0.3589343486945581,0.8988423347473145,random_individual,3,5,1703,8,Lovund,0,8000514,10,0.05
9,6,2781,0.387551359468196,0.8761771321296692,random_individual,3,6,2781,8,Lovund,0,8000514,10,0.05
8,7,2947,0.39992668162945033,0.8746426701545715,random_individual,3,7,2947,8,Lovund,0,8000514,10,0.05
7,8,3531,0.3809809019854233,0.8735555410385132,random_individual,3,8,3531,8,Lovund,0,8000514,10,0.05
6,9,4017,0.38691576685922136,0.8673008680343628,random_individual,3,9,4017,8,Lovund,0,8000514,10,0.05
5,10,4575,0.3957615091521396,0.8510667681694031,random_individual,3,10,4575,8,Lovund,0,8000514,10,0.05
4,11,4777,0.40683836236089727,0.8449255228042603,random_individual,3,11,4777,8,Lovund,0,8000514,10,0.05
3,12,5036,0.40299400329624446,0.8438081741333008,random_individual,3,12,5036,8,Lovund,0,8000514,10,0.05
2,13,5155,0.4052718195811105,0.8439196944236755,random_individual,3,13,5155,8,Lovund,0,8000514,10,0.05
1,14,5447,0.38898292299997406,0.8503047227859497,random_individual,3,14,5447,8,Lovund,0,8000514,10,0.05
0,15,5539,0.38948237525688817,0.8507266044616699,random_individual,3,15,5539,8,Lovund,0,8000514,10,0.05
14,1,173,0.17561511620645395,0.9557641744613647,random_individual,4,1,173,8,Lovund,0,8000514,10,0.05
13,2,570,0.23064021447590752,0.9381104707717896,random_individual,4,2,570,8,Lovund,0,8000514,10,0.05
12,3,1153,0.29723434252550424,0.9129634499549866,random_individual,4,3,1153,8,Lovund,0,8000514,10,0.05
11,4,1347,0.30515322538039885,0.9133646488189697,random_individual,4,4,1347,8,Lovund,0,8000514,10,0.05
10,5,1703,0.2777113763271902,0.9147334098815918,random_individual,4,5,1703,8,Lovund,0,8000514,10,0.05
9,6,2781,0.3304852435961798,0.8969343304634094,random_individual,4,6,2781,8,Lovund,0,8000514,10,0.05
8,7,2947,0.3139900094797625,0.8968729972839355,random_individual,4,7,2947,8,Lovund,0,8000514,10,0.05
7,8,3531,0.323889889380495,0.8907828330993652,random_individual,4,8,3531,8,Lovund,0,8000514,10,0.05
6,9,4017,0.3473597427517926,0.8743451833724976,random_individual,4,9,4017,8,Lovund,0,8000514,10,0.05
5,10,4575,0.3461341231903465,0.8740071654319763,random_individual,4,10,4575,8,Lovund,0,8000514,10,0.05
