trait,fold,method,selection_method,repeat,repeat_seed,n_individuals,n_train_available,n_test,n_pcs,n_pcs_selection,n_pcs_fit,alpha,pearson_r,mse_adj,pevmean_obj,ga_generations,ga_cache_size,ga_elapsed_sec,fit_time_seconds
body_mass,9,full_train_pc_ridge,full_train,-1,-1,5128,5128,569,4000,100,4000,62178.10809025701,0.3276983067525092,1.0301014184951782,0.014227550476789474,0,0,0.0,1.3729393689427525
body_mass,9,pevmean_ga_pc_ridge,pevmean_ga,0,9000514,500,5128,569,4000,100,4000,62178.10809025701,0.2507828918823679,1.0955439805984497,0.03841864690184593,300,26656,65.97916616103612,0.030530303018167615
body_mass,9,pevmean_ga_pc_ridge,pevmean_ga,0,9001014,1000,5128,569,4000,100,4000,62178.10809025701,0.1941531844659522,1.108150839805603,0.030376045033335686,300,26494,80.43242351082154,0.08947009989060462
body_mass,9,pevmean_ga_pc_ridge,pevmean_ga,0,9001514,1500,5128,569,4000,100,4000,62178.10809025701,0.2024677573374662,1.098586082458496,0.025849903002381325,300,26638,93.79436564119533,0.1753030028194189
body_mass,9,pevmean_ga_pc_ridge,pevmean_ga,0,9002014,2000,5128,569,4000,100,4000,62178.10809025701,0.253717310165648,1.08051335811615,0.022421715781092644,300,26503,107.63859223900363,0.3278208919800818
body_mass,9,pevmean_ga_pc_ridge,pevmean_ga,0,9002514,2500,5128,569,4000,100,4000,62178.10809025701,0.2618233243792432,1.0664652585983276,0.020229298621416092,300,26583,120.42608531587757,0.4520862440112978
body_mass,9,pevmean_ga_pc_ridge,pevmean_ga,0,9003014,3000,5128,569,4000,100,4000,62178.10809025701,0.27814691496669985,1.0671782493591309,0.018376430496573448,300,26581,134.96469271508977,0.6797434990294278
body_mass,9,pevmean_ga_pc_ridge,pevmean_ga,0,9003514,3500,5128,569,4000,100,4000,62178.10809025701,0.28042822823834895,1.0651705265045166,0.016959624364972115,300,26609,150.32949844701216,0.8776819100603461
body_mass,9,pevmean_ga_pc_ridge,pevmean_ga,0,9004014,4000,5128,569,4000,100,4000,62178.10809025701,0.30741170422566516,1.046190619468689,0.015881333500146866,300,26624,164.88272548397072,1.1892198510468006
body_mass,9,pevmean_ga_pc_ridge,pevmean_ga,0,9004514,4500,5128,569,4000,100,4000,62178.10809025701,0.3178520068685515,1.0387755632400513,0.014927232638001442,300,26360,166.82311840518378,1.2830058687832206
