trait,target_island,method,n_train_size,n_cal_samples,corr_test_mean,corr_test_std,corr_cal_mean,mse_test_mean,n_rows
body_mass,3,all_individuals,5503,25,0.2100441253939338,,0.3127491880087272,0.9538391828536988,1
body_mass,3,all_individuals,5503,50,0.203462911564015,,0.221933804880483,0.9838229417800904,1
body_mass,3,all_individuals,5503,100,0.3376561724768304,,0.1118082928309389,0.804206132888794,1
body_mass,3,calibration_ga,500,25,0.0330426248040657,,0.9964265994473438,0.98274165391922,1
body_mass,3,calibration_ga,500,50,-0.0056226081683809,,0.9293011323092032,0.9937998652458192,1
body_mass,3,calibration_ga,500,100,0.2995801786878223,,0.8006583794417353,0.8614497184753418,1
body_mass,3,calibration_ga,1000,25,0.0572984339660616,,0.9940282189735896,0.984655499458313,1
body_mass,3,calibration_ga,1000,50,0.0945800913477165,,0.896313758101688,0.9839820861816406,1
body_mass,3,calibration_ga,1000,100,0.2741618845700057,,0.7297497266388205,0.8624151349067688,1
body_mass,3,calibration_ga,2000,25,0.1497233051787977,,0.9784187795973848,0.9693148732185364,1
body_mass,3,calibration_ga,2000,50,0.1158092060792715,,0.8773630614813814,1.002224087715149,1
body_mass,3,calibration_ga,2000,100,0.1962499892137979,,0.7391212535012002,0.8568478226661682,1
body_mass,3,calibration_ga,3000,25,0.0792723379712982,,0.9836419114624356,0.9869139194488524,1
body_mass,3,calibration_ga,3000,50,0.157491643423127,,0.7472183556075541,0.9981161952018738,1
body_mass,3,calibration_ga,3000,100,0.3203382710521746,,0.5955258963754438,0.8306922316551208,1
body_mass,3,calibration_ga,4000,25,0.1577597455073187,,0.8279922413694434,0.96596097946167,1
body_mass,3,calibration_ga,4000,50,0.1582204481939506,,0.6413501929052297,1.0166090726852417,1
body_mass,3,calibration_ga,4000,100,0.3495074330609165,,0.4979953801684521,0.8103663921356201,1
body_mass,3,pevmean_ga,500,25,0.2134042655445061,,0.272075302464783,0.9567965269088744,1
body_mass,3,pevmean_ga,500,50,0.1933569925618126,,0.2766243568331008,0.9801926016807556,1
body_mass,3,pevmean_ga,500,100,0.3539063176649471,,0.09213703645585,0.8236961364746094,1
body_mass,3,pevmean_ga,1000,25,0.1625432075154663,,0.2292134166199936,0.9692724347114564,1
body_mass,3,pevmean_ga,1000,50,0.162773564711726,,0.1568332111685554,0.9934306740760804,1
body_mass,3,pevmean_ga,1000,100,0.3024333425775076,,0.0418315325655368,0.823310911655426,1
body_mass,3,pevmean_ga,2000,25,0.1956083667530218,,0.245867505445083,0.9588106870651244,1
body_mass,3,pevmean_ga,2000,50,0.1967348915179178,,0.1773312769367774,0.9861619472503662,1
body_mass,3,pevmean_ga,2000,100,0.2897573401178229,,0.1149162015920549,0.831444263458252,1
body_mass,3,pevmean_ga,3000,25,0.2001864036999109,,0.2872335190011137,0.9552754759788512,1
body_mass,3,pevmean_ga,3000,50,0.1951063822785731,,0.1967190870093935,0.9807387590408324,1
body_mass,3,pevmean_ga,3000,100,0.3378968958398132,,0.0852363890502668,0.8043836951255798,1
body_mass,3,pevmean_ga,4000,25,0.1758682038451332,,0.2199944961571228,0.9629751443862916,1
body_mass,3,pevmean_ga,4000,50,0.1493326388017305,,0.2284214223403539,0.996079444885254,1
body_mass,3,pevmean_ga,4000,100,0.3159211721717938,,0.0608881030440597,0.8113765120506287,1
body_mass,3,random,500,25,0.0797122846027172,0.06213857964732478,0.0878502480282154,0.9780185580253601,5
body_mass,3,random,500,50,0.12091347633600277,0.05544100535698956,0.06677534922981077,0.9794862270355225,5
body_mass,3,random,500,100,0.16172474935716172,0.07926019091324304,0.08942498977214339,0.8692420840263366,5
body_mass,3,random,1000,25,0.16548229074030568,0.08588091042990274,0.16748337400520635,0.9599315047264099,5
body_mass,3,random,1000,50,0.11129935133838272,0.07097269877074958,0.15092912679979625,0.9817968845367432,5
body_mass,3,random,1000,100,0.17464605741802022,0.05127490182455824,0.07190240158607011,0.8582465767860412,5
body_mass,3,random,2000,25,0.1606785928913499,0.05868922882749104,0.207785101621515,0.9638608694076538,5
body_mass,3,random,2000,50,0.15559129245840767,0.03463713430229326,0.17468492040328876,0.9864795684814454,5
body_mass,3,random,2000,100,0.24046299298032398,0.0324598993949942,0.0441996160916013,0.8433252096176147,5
body_mass,3,random,3000,25,0.16714372620239043,0.047960776684996285,0.20800136674130815,0.9618845224380493,5
body_mass,3,random,3000,50,0.16248712850720787,0.06099281226353971,0.18100495862483865,0.9846704125404357,5
body_mass,3,random,3000,100,0.28072676370228017,0.03449415539035932,0.1295998144684403,0.8292148351669312,5
body_mass,3,random,4000,25,0.19138070939700885,0.014151789620738348,0.25311017999415747,0.959328544139862,5
body_mass,3,random,4000,50,0.18583165718879374,0.047887656914898886,0.19262061987263968,0.9827150821685791,5
body_mass,3,random,4000,100,0.28647332906922063,0.010971995417228588,0.09401456995940394,0.827753233909607,5
