n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples
14,1,151,0.2061891279787123,1.8558952808380127,shapley_mean,-1,1,151,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
13,2,311,0.28080520574388457,1.8302351236343384,shapley_mean,-1,2,311,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
12,3,660,0.23508406221898936,1.762205719947815,shapley_mean,-1,3,660,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
11,4,833,0.20017505278519587,1.7702679634094238,shapley_mean,-1,4,833,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
10,5,925,0.11237791356432987,1.7850362062454224,shapley_mean,-1,5,925,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
9,6,1181,0.0005258272184348367,1.8270388841629028,shapley_mean,-1,6,1181,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
8,7,2236,0.04009420726674329,1.8154820203781128,shapley_mean,-1,7,2236,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
7,8,2817,0.05617490791128061,1.8162389993667603,shapley_mean,-1,8,2817,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
6,9,3303,0.05605110487823221,1.810800313949585,shapley_mean,-1,9,3303,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
5,10,3886,0.07426436679305631,1.8051292896270752,shapley_mean,-1,10,3886,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
4,11,4439,0.030933583383313007,1.8338085412979126,shapley_mean,-1,11,4439,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
3,12,4836,0.016773373285718502,1.8363686800003052,shapley_mean,-1,12,4836,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
2,13,5038,-0.005646986310103608,1.8496896028518677,shapley_mean,-1,13,5038,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
1,14,5324,0.18521903604445528,1.7453869581222534,shapley_mean,-1,14,5324,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
0,15,5442,0.20062570792698278,1.7327971458435059,shapley_mean,-1,15,5442,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
14,1,151,0.15159507355033408,1.88821280002594,random_individual,0,1,151,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
13,2,311,0.0261857612766821,1.96570885181427,random_individual,0,2,311,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
12,3,660,0.07345020340996952,1.939118504524231,random_individual,0,3,660,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
11,4,833,0.2264335012215283,1.8606239557266235,random_individual,0,4,833,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
10,5,925,0.2083411676697684,1.8497473001480103,random_individual,0,5,925,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
9,6,1181,0.2397799008394126,1.8109462261199951,random_individual,0,6,1181,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
8,7,2236,0.2844922863309374,1.7394548654556274,random_individual,0,7,2236,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
7,8,2817,0.23980125244085762,1.7568262815475464,random_individual,0,8,2817,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
6,9,3303,0.21520897071924522,1.7662405967712402,random_individual,0,9,3303,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
5,10,3886,0.25852211692705995,1.7443432807922363,random_individual,0,10,3886,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
4,11,4439,0.1987094724481202,1.753784418106079,random_individual,0,11,4439,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
3,12,4836,0.21886244799074858,1.723946213722229,random_individual,0,12,4836,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
2,13,5038,0.19431971987896018,1.7328368425369263,random_individual,0,13,5038,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
1,14,5324,0.21509402756579288,1.7275809049606323,random_individual,0,14,5324,3,Selvær,3,1236497313,10,wing,0.05235602094240838,10
