trait,fold,method,selection_method,repeat,repeat_seed,n_individuals,n_train_available,n_test,n_pcs,n_pcs_selection,n_pcs_fit,alpha,pearson_r,mse_adj,pevmean_obj,ga_generations,ga_cache_size,ga_elapsed_sec,fit_time_seconds
body_mass,4,full_train_pc_ridge,full_train,-1,-1,5127,5127,570,4000,100,4000,62178.10809025701,0.36797916308228584,1.0346324443817139,0.01446394994854927,0,0,0.0,0.9789956398308277
body_mass,4,pevmean_ga_pc_ridge,pevmean_ga,0,4000514,500,5127,570,4000,100,4000,62178.10809025701,0.17760980274342578,1.1694954633712769,0.03893418610095978,300,26315,50.74316944181919,0.01942900219000876
body_mass,4,pevmean_ga_pc_ridge,pevmean_ga,0,4001014,1000,5127,570,4000,100,4000,62178.10809025701,0.2969387194371871,1.122678518295288,0.030646689236164093,300,26574,59.45059692603536,0.06054969900287688
body_mass,4,pevmean_ga_pc_ridge,pevmean_ga,0,4001514,1500,5127,570,4000,100,4000,62178.10809025701,0.2881269732570342,1.1015686988830566,0.026027251034975052,300,26614,69.20396288693883,0.11980473785661161
body_mass,4,pevmean_ga_pc_ridge,pevmean_ga,0,4002014,2000,5127,570,4000,100,4000,62178.10809025701,0.2678359143654,1.1075323820114136,0.02299100160598755,300,26563,80.25474633881822,0.21070318506099284
body_mass,4,pevmean_ga_pc_ridge,pevmean_ga,0,4002514,2500,5127,570,4000,100,4000,62178.10809025701,0.3251389428417211,1.084725022315979,0.020477883517742157,300,26582,89.16732932277955,0.33281881897710264
body_mass,4,pevmean_ga_pc_ridge,pevmean_ga,0,4003014,3000,5127,570,4000,100,4000,62178.10809025701,0.3486704941645625,1.079096794128418,0.018659351393580437,300,26631,98.97112315217964,0.4975121170282364
body_mass,4,pevmean_ga_pc_ridge,pevmean_ga,0,4003514,3500,5127,570,4000,100,4000,62178.10809025701,0.3371083218812584,1.063437819480896,0.01720055751502514,300,26436,108.40370913501829,0.7121986930724233
body_mass,4,pevmean_ga_pc_ridge,pevmean_ga,0,4004014,4000,5127,570,4000,100,4000,62178.10809025701,0.36394738254391157,1.0497355461120605,0.016048569232225418,300,26520,117.40566507098265,0.9455361750442535
body_mass,4,pevmean_ga_pc_ridge,pevmean_ga,0,4004514,4500,5127,570,4000,100,4000,62178.10809025701,0.3626088976097067,1.047361969947815,0.015163992531597614,300,26520,125.12682411400601,1.012414928060025
