trait,method,selection_method,n_individuals,pearson_r_mean,pearson_r_std,mse_adj_mean,n_rows
body_mass,full_train_pc_ridge,full_train,5127,0.3679791630822858,,1.034632444381714,1
body_mass,pevmean_ga_pc_ridge,pevmean_ga,500,0.1776098027434257,,1.1694954633712769,1
body_mass,pevmean_ga_pc_ridge,pevmean_ga,1000,0.2969387194371871,,1.122678518295288,1
body_mass,pevmean_ga_pc_ridge,pevmean_ga,1500,0.2881269732570342,,1.1015686988830566,1
body_mass,pevmean_ga_pc_ridge,pevmean_ga,2000,0.2678359143654,,1.1075323820114136,1
body_mass,pevmean_ga_pc_ridge,pevmean_ga,2500,0.3251389428417211,,1.084725022315979,1
body_mass,pevmean_ga_pc_ridge,pevmean_ga,3000,0.3486704941645625,,1.079096794128418,1
body_mass,pevmean_ga_pc_ridge,pevmean_ga,3500,0.3371083218812584,,1.063437819480896,1
body_mass,pevmean_ga_pc_ridge,pevmean_ga,4000,0.3639473825439115,,1.0497355461120603,1
body_mass,pevmean_ga_pc_ridge,pevmean_ga,4500,0.3626088976097067,,1.047361969947815,1
