method,n_individuals,merged_mean_corr,shard_mean_corr,abs_diff
bpcrr_topk_avggrm,500,0.12729303168270614,0.12729303168270614,0.0
bpcrr_topk_avggrm,1000,0.1452396488065147,0.1452396488065147,0.0
bpcrr_topk_avggrm,1500,0.15038198546559312,0.15038198546559312,0.0
bpcrr_topk_avggrm,2000,0.14210870076591997,0.14210870076591997,0.0
bpcrr_topk_avggrm,2500,0.13854572276077504,0.13854572276077504,0.0
bpcrr_topk_avggrm,3000,0.1361754661994035,0.1361754661994035,0.0
bpcrr_topk_avggrm,3500,0.13705350873480296,0.13705350873480296,0.0
bpcrr_topk_avggrm,4000,0.13953817827539283,0.13953817827539283,0.0
bpcrr_topk_avggrm,4500,0.13819721934072735,0.13819721934072735,0.0
bpcrr_topk_pc_distance,500,0.126823360540198,0.126823360540198,0.0
bpcrr_topk_pc_distance,1000,0.13607180380243686,0.13607180380243686,0.0
bpcrr_topk_pc_distance,1500,0.13348779595488525,0.13348779595488525,0.0
bpcrr_topk_pc_distance,2000,0.13388900533121373,0.13388900533121373,0.0
bpcrr_topk_pc_distance,2500,0.13412076593606392,0.13412076593606392,0.0
bpcrr_topk_pc_distance,3000,0.14209743799271246,0.14209743799271246,0.0
bpcrr_topk_pc_distance,3500,0.13905270548354615,0.13905270548354615,0.0
bpcrr_topk_pc_distance,4000,0.13646968690460684,0.13646968690460684,0.0
bpcrr_topk_pc_distance,4500,0.13937777327795878,0.13937777327795878,0.0
full_source_unweighted,4619,0.1253615991408329,0.1253615991408329,0.0
full_source_unweighted,5113,0.0342959173914958,0.0342959173914958,0.0
full_source_unweighted,5114,0.0874972624106476,0.0874972624106476,0.0
full_source_unweighted,5139,0.0766147360649223,0.0766147360649223,0.0
full_source_unweighted,5211,0.1102528019392353,0.1102528019392353,0.0
full_source_unweighted,5300,0.0778196647046199,0.0778196647046199,0.0
full_source_unweighted,5341,0.2470267477471038,0.2470267477471038,0.0
full_source_unweighted,5405,0.1296127102692252,0.1296127102692252,0.0
full_source_unweighted,5438,0.0006208953660804,0.0006208953660804,0.0
full_source_unweighted,5495,0.0706612467272697,0.0706612467272697,0.0
full_source_unweighted,5503,0.1503446657738248,0.1503446657738248,0.0
full_source_unweighted,5524,0.1400303258638985,0.1400303258638985,0.0
full_source_unweighted,5531,0.1462432725783476,0.1462432725783476,0.0
full_source_unweighted,5539,0.3526293547139148,0.3526293547139148,0.0
full_source_unweighted,5578,0.1824919336827234,0.1824919336827234,0.0
full_source_unweighted,5605,0.3216936059725373,0.3216936059725373,0.0
random_individual,500,0.07275927318723566,0.07275927318723566,0.0
random_individual,1000,0.08262565014318622,0.08262565014318622,0.0
random_individual,1500,0.09928096377835803,0.09928096377835803,0.0
random_individual,2000,0.1154543754891294,0.1154543754891294,0.0
random_individual,2500,0.11949666507166992,0.11949666507166992,0.0
random_individual,3000,0.12548655755792135,0.12548655755792135,0.0
random_individual,3500,0.12761168062086442,0.12761168062086442,0.0
random_individual,4000,0.13136683985235573,0.13136683985235573,0.0
random_individual,4500,0.1364157873608298,0.1364157873608298,0.0
