target_island,source_island,source_island_name,phi,phi_per_individual,n_island,rank_full,rank_mean
5,12,Southern 2,0.05474096462130547,0.00013788656075895583,397,1,3
5,6,Indre Kvarøy,0.043866618722677234,0.00012322083910864393,356,2,4
5,1,Myken,0.036914728162810204,0.000401247045247937,92,3,1
5,14,Southern 4,0.025610829005017877,5.269717902267053e-05,486,4,8
5,0,Nesøy,0.024716727482154966,0.00020770359228701652,119,5,2
5,2,Træna,0.018011143151670694,6.168199709476265e-05,292,6,7
5,8,Lovund,0.015377803379669786,9.732786949158092e-05,158,7,5
5,10,Aldra,0.012505226349458099,7.228454537259017e-05,173,8,6
5,3,Selvær,0.006271626241505146,3.232797031703684e-05,194,9,9
5,9,Sleneset,0.00465422032866627,2.803747185943536e-05,166,10,10
5,11,Southern 1,-0.0023957753786817194,-4.109391730157323e-06,583,11,11
5,4,Gjerøy,-0.002850294299423695,-5.1080543000424635e-06,558,12,12
5,15,Southern 5,-0.019043138576671483,-9.427296325084892e-05,202,13,14
5,7,Onøy og Lurøy,-0.030410898569971322,-0.00011741659679525607,259,14,15
5,13,Southern 3,-0.04951871102675796,-8.47923134019828e-05,584,15,13
