target_island,target_island_name,repeat,split_seed,player_index,source_pool_index,source_id,source_island,source_island_name,phi,rank_phi,v_full,n_permutations
9,Sleneset,4,4014,1040,1040,8M72009,6,Indre Kvarøy,0.054155711378090665,1,0.1983819728142455,50
9,Sleneset,4,4014,208,208,8L48451,5,Hestmannøy,0.021722491488033027,2,0.1983819728142455,50
9,Sleneset,4,4014,4259,4259,8651548,4,Gjerøy,0.02008591272603782,3,0.1983819728142455,50
9,Sleneset,4,4014,4216,4216,8537770,7,Onøy og Lurøy,0.015762005684173477,4,0.1983819728142455,50
9,Sleneset,4,4014,2557,2557,8N28250,7,Onøy og Lurøy,0.015322524114031623,5,0.1983819728142455,50
9,Sleneset,4,4014,5468,5468,8981604,10,Aldra,0.014559606531371037,6,0.1983819728142455,50
9,Sleneset,4,4014,2672,2672,8N42143,2,Træna,0.014281118440940994,7,0.1983819728142455,50
9,Sleneset,4,4014,169,169,8L30851,2,Træna,0.014027082105452006,8,0.1983819728142455,50
9,Sleneset,4,4014,4697,4697,8747829,7,Onøy og Lurøy,0.013392097639449478,9,0.1983819728142455,50
9,Sleneset,4,4014,4861,4861,8816486,5,Hestmannøy,0.013381530013975707,10,0.1983819728142455,50
9,Sleneset,4,4014,2061,2061,8N14017,7,Onøy og Lurøy,0.013098043237291572,11,0.1983819728142455,50
9,Sleneset,4,4014,2947,2947,8N72927,13,Southern 3,0.012600386220105342,12,0.1983819728142455,50
9,Sleneset,4,4014,1641,1641,8N06037,2,Træna,0.01246231268788301,13,0.1983819728142455,50
9,Sleneset,4,4014,3873,3873,8P11577,5,Hestmannøy,0.011611699906917114,14,0.1983819728142455,50
9,Sleneset,4,4014,1793,1793,8N06853,11,Southern 1,0.011200828193837236,15,0.1983819728142455,50
9,Sleneset,4,4014,192,192,8L48336,5,Hestmannøy,0.010864733283158073,16,0.1983819728142455,50
9,Sleneset,4,4014,5175,5175,8934899,0,Nesøy,0.01086338233363275,17,0.1983819728142455,50
9,Sleneset,4,4014,2350,2350,8N14970,7,Onøy og Lurøy,0.010808940056903155,18,0.1983819728142455,50
9,Sleneset,4,4014,2740,2740,8N42645,7,Onøy og Lurøy,0.010502388948201885,19,0.1983819728142455,50
9,Sleneset,4,4014,1393,1393,8N05271,13,Southern 3,0.010488345326733189,20,0.1983819728142455,50
9,Sleneset,4,4014,5406,5406,8981092,11,Southern 1,0.010297351401728595,21,0.1983819728142455,50
9,Sleneset,4,4014,1767,1767,8N06827,11,Southern 1,0.010260886071580419,22,0.1983819728142455,50
9,Sleneset,4,4014,3812,3812,8P11429,1,Myken,0.010177648413874989,23,0.1983819728142455,50
9,Sleneset,4,4014,3574,3574,8N87611,15,Southern 5,0.009814407235770251,24,0.1983819728142455,50
9,Sleneset,4,4014,2814,2814,8N72066,2,Træna,0.009704607044452062,25,0.1983819728142455,50
9,Sleneset,4,4014,3175,3175,8N73504,5,Hestmannøy,0.009527368815826701,26,0.1983819728142455,50
9,Sleneset,4,4014,1708,1708,8N06527,5,Hestmannøy,0.009472264063648192,27,0.1983819728142455,50
9,Sleneset,4,4014,1,1,8L19506,3,Selvær,0.009172894857946916,28,0.1983819728142455,50
9,Sleneset,4,4014,3370,3370,8N73954,12,Southern 2,0.009060164707760913,29,0.1983819728142455,50
9,Sleneset,4,4014,700,700,8M31255,8,Lovund,0.009018183753884633,30,0.1983819728142455,50
