n_removed,n_islands_remaining,n_individuals_remaining,corr_eval,mse_adj,method,order_seed,n_islands,n_individuals,target_island,target_island_name,repeat,split_seed,n_permutations,trait,cal_fraction,n_cal_samples
4,11,4368,0.4253977492900415,1.5456470251083374,random_individual,1,11,4368,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
3,12,4921,0.39345076445805743,1.537940263748169,random_individual,1,12,4921,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
2,13,5094,0.36106602302836616,1.5563873052597046,random_individual,1,13,5094,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
1,14,5350,0.3683761537533367,1.5448147058486938,random_individual,1,14,5350,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
0,15,5442,0.37131602246154527,1.5452461242675781,random_individual,1,15,5442,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
14,1,581,0.2341373933790254,1.6901742219924927,random_individual,2,1,581,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
13,2,930,0.2890615447957469,1.6735872030258179,random_individual,2,2,930,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
12,3,1416,0.2464764548527644,1.6745970249176025,random_individual,2,3,1416,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
11,4,1534,0.12347812960941998,1.6945465803146362,random_individual,2,4,1534,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
10,5,2589,0.3040280086099602,1.6235747337341309,random_individual,2,5,2589,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
9,6,2791,0.27467620811753246,1.6339638233184814,random_individual,2,6,2791,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
8,7,3077,0.23590441465811715,1.630186915397644,random_individual,2,7,3077,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
7,8,3474,0.3152267693682082,1.6168361902236938,random_individual,2,8,3474,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
6,9,4057,0.35841726708347926,1.5977497100830078,random_individual,2,9,4057,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
5,10,4208,0.3651514909103795,1.5870122909545898,random_individual,2,10,4208,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
4,11,4368,0.37169973509010734,1.5777744054794312,random_individual,2,11,4368,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
3,12,4921,0.39863782727591096,1.5328173637390137,random_individual,2,12,4921,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
2,13,5094,0.39925526176950815,1.5296485424041748,random_individual,2,13,5094,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
1,14,5350,0.37920745572821923,1.542135238647461,random_individual,2,14,5350,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
0,15,5442,0.37131602246154527,1.5452461242675781,random_individual,2,15,5442,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
14,1,581,-0.018126834795640378,1.721448540687561,random_individual,3,1,581,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
13,2,930,0.30184543462149505,1.674407720565796,random_individual,3,2,930,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
12,3,1416,0.302776938932468,1.6617285013198853,random_individual,3,3,1416,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
11,4,1534,0.28660582315473654,1.6583901643753052,random_individual,3,4,1534,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
10,5,2589,0.3071168496582038,1.6347370147705078,random_individual,3,5,2589,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
9,6,2791,0.31223587212381865,1.6219249963760376,random_individual,3,6,2791,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
8,7,3077,0.27348111116359647,1.614548683166504,random_individual,3,7,3077,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
7,8,3474,0.34829263251871106,1.5965014696121216,random_individual,3,8,3474,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
6,9,4057,0.3308436914466894,1.5860708951950073,random_individual,3,9,4057,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
5,10,4208,0.33974372031105887,1.5790133476257324,random_individual,3,10,4208,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
4,11,4368,0.3074700650878731,1.5858757495880127,random_individual,3,11,4368,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
3,12,4921,0.2900029080702278,1.5875028371810913,random_individual,3,12,4921,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
2,13,5094,0.2985946073593332,1.5809476375579834,random_individual,3,13,5094,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
1,14,5350,0.364480104821356,1.550711989402771,random_individual,3,14,5350,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
0,15,5442,0.37131602246154527,1.5452461242675781,random_individual,3,15,5442,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
14,1,581,0.1186329440696828,1.6801408529281616,random_individual,4,1,581,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
13,2,930,0.4568424111087257,1.5839120149612427,random_individual,4,2,930,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
12,3,1416,0.44973392662204525,1.5617890357971191,random_individual,4,3,1416,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
11,4,1534,0.40874791737250205,1.5532811880111694,random_individual,4,4,1534,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
10,5,2589,0.44628370513063176,1.573215365409851,random_individual,4,5,2589,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
9,6,2791,0.39787181366486857,1.5951793193817139,random_individual,4,6,2791,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
8,7,3077,0.3404181034776945,1.592865228652954,random_individual,4,7,3077,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
7,8,3474,0.386507610384822,1.5583096742630005,random_individual,4,8,3474,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
6,9,4057,0.308016750141301,1.58246648311615,random_individual,4,9,4057,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
5,10,4208,0.3167610012492483,1.5817580223083496,random_individual,4,10,4208,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
4,11,4368,0.3264701876087936,1.5663641691207886,random_individual,4,11,4368,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
3,12,4921,0.36782061976544234,1.5491435527801514,random_individual,4,12,4921,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
2,13,5094,0.37006657650927693,1.552999496459961,random_individual,4,13,5094,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
1,14,5350,0.3732254665589179,1.5409425497055054,random_individual,4,14,5350,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
0,15,5442,0.37131602246154527,1.5452461242675781,random_individual,4,15,5442,3,Selvær,5,421305392,10,wing,0.05235602094240838,10
14,1,581,0.21119439260219405,1.7092175483703613,shapley_mean,-1,1,581,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
13,2,930,-0.010029974806241373,1.734580397605896,shapley_mean,-1,2,930,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
12,3,1416,0.11347922944333334,1.7163305282592773,shapley_mean,-1,3,1416,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
11,4,1618,0.05197759284519294,1.7311687469482422,shapley_mean,-1,4,1618,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
10,5,2673,0.18050036745560247,1.7120954990386963,shapley_mean,-1,5,2673,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
9,6,2791,0.1760787679436365,1.70607328414917,shapley_mean,-1,6,2791,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
8,7,3077,0.39027786208738635,1.5849353075027466,shapley_mean,-1,7,3077,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
7,8,3474,0.33970799849339356,1.6077134609222412,shapley_mean,-1,8,3474,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
6,9,4057,0.3158050683765019,1.607574224472046,shapley_mean,-1,9,4057,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
5,10,4208,0.3361583160772874,1.589732050895691,shapley_mean,-1,10,4208,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
4,11,4761,0.34989998460512645,1.6004821062088013,shapley_mean,-1,11,4761,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
3,12,4934,0.35932045548919817,1.6045634746551514,shapley_mean,-1,12,4934,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
2,13,5094,0.37736196695640595,1.5877244472503662,shapley_mean,-1,13,5094,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
1,14,5350,0.3895876012685991,1.5639503002166748,shapley_mean,-1,14,5350,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
0,15,5442,0.37131602246154527,1.5452461242675781,shapley_mean,-1,15,5442,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
14,1,581,0.188263539882439,1.709125280380249,random_individual,0,1,581,3,Selvær,5,421305392,20,wing,0.05235602094240838,10
