n_permutations,n_cal_samples,best_n_removed,best_n_islands,best_corr_mean,corr_baseline,avg_gain_over_baseline,n_runs
10,10,4,11,0.13541701008845297,0.12833016722123464,0.007086842867218335,10
10,20,2,13,0.14684394999235442,0.14143131999522532,0.005412629997129104,10
10,40,0,15,0.1425888036612234,0.1425888036612234,0.0,10
10,80,1,14,0.14542023135994203,0.14381045797302683,0.001609773386915203,10
10,150,5,10,0.17264071085352034,0.14726789873062443,0.02537281212289591,10
20,10,4,11,0.13627065977793013,0.12833016722123464,0.007940492556695489,10
20,20,3,12,0.14715222025505725,0.14143131999522532,0.005720900259831935,10
20,40,0,15,0.1425888036612234,0.1425888036612234,0.0,10
20,80,1,14,0.1443336287220382,0.14381045797302683,0.0005231707490113702,10
20,150,3,12,0.16423149423572242,0.14726789873062443,0.01696359550509799,10
40,10,5,10,0.14051035379296678,0.12833016722123464,0.012180186571732143,10
40,20,8,7,0.153961705333466,0.14143131999522532,0.01253038533824069,10
40,40,7,8,0.1426570479567118,0.1425888036612234,6.82442954884066e-05,10
40,80,1,14,0.1443336287220382,0.14381045797302683,0.0005231707490113702,10
40,150,3,12,0.16523372325646907,0.14726789873062443,0.017965824525844637,10
80,10,6,9,0.14268597612643372,0.12833016722123464,0.01435580890519908,10
80,20,2,13,0.14680044792762814,0.14143131999522532,0.005369127932402823,10
80,40,0,15,0.1425888036612234,0.1425888036612234,0.0,10
80,80,1,14,0.1443336287220382,0.14381045797302683,0.0005231707490113702,10
80,150,7,8,0.1703499268657533,0.14726789873062443,0.023082028135128857,10
150,10,5,10,0.14263728502285142,0.12833016722123464,0.014307117801616781,10
150,20,3,12,0.1475569174278915,0.14143131999522532,0.006125597432666191,10
150,40,0,15,0.1425888036612234,0.1425888036612234,0.0,10
150,80,1,14,0.1443336287220382,0.14381045797302683,0.0005231707490113702,10
150,150,7,8,0.16889832190221843,0.14726789873062443,0.021630423171594,10
