ringnr,island,score,rank
8747636,4,-0.010003881179727614,0
8L48609,6,-0.00840065351803787,1
8800375,4,-0.0065341184308636,2
8N14981,6,-0.005838314478751272,3
8N42952,4,-0.005705628878786229,4
8943470,2,-0.0056219438192783855,5
8N72348,6,-0.005112913218908943,6
8N42642,7,-0.004939500366162974,7
8P14278,4,-0.00491256765963044,8
8N73636,13,-0.004749619289214024,9
8P14622,2,-0.00464238924178062,10
8747741,6,-0.004637199483113363,11
8L19505,3,-0.004615870151610579,12
8N14591,11,-0.004561687806926784,13
8N14980,6,-0.004555205145152286,14
8N14017,7,-0.004465721453016158,15
8816921,6,-0.0044604811919271015,16
8N42771,10,-0.00403056725008355,17
8L19995,0,-0.004005292175861541,18
8M31435,4,-0.003996931449364638,19
8573989,3,-0.003940152393624885,20
8L64795,13,-0.003900907939168974,21
8730451,1,-0.0038628431721008383,22
8L64142,8,-0.0037310000334400684,23
8887462,1,-0.0037294531903171446,24
8N27835,6,-0.003656328088254668,25
8939150,4,-0.0036145099984423723,26
8N87574,11,-0.0035505731066223234,27
8L52223,8,-0.0034979494485014584,28
8681009,0,-0.003419824530283222,29
8939376,7,-0.0033858095412142575,30
8N73623,13,-0.0032615477866784204,31
8939377,7,-0.00323473977005051,32
8730497,4,-0.003186035497492412,33
8N05167,12,-0.0031330745987361297,34
8794305,4,-0.0031210318966259365,35
8N05263,13,-0.00310925111079996,36
8L89487,11,-0.0030965766727604205,37
8N05220,12,-0.0030381172546185553,38
8N73233,12,-0.003019000869244337,39
8M71231,6,-0.0029605957006424433,40
8N87547,11,-0.0028948296312591992,41
8L48479,4,-0.0028420896724128397,42
8M71811,0,-0.002816989024722716,43
8P11051,9,-0.0028141156944911927,44
8P11833,15,-0.002807952871080488,45
8N73604,14,-0.0027620812907116488,46
8M31605,4,-0.0027559516220208025,47
8N14582,11,-0.0027457715586933773,48
8L89739,10,-0.0027404320680943783,49
8N73626,11,-0.0027241532297921367,50
8N05686,15,-0.0027126367767777992,51
8816427,1,-0.0026921872895400156,52
8N14937,4,-0.0026368780381744727,53
8800436,6,-0.0026318836785321764,54
8M71158,13,-0.0026137552706586575,55
8N05127,14,-0.0025995244450314203,56
8N14599,11,-0.00256608839299588,57
8P11530,15,-0.002529828721890226,58
8N73951,12,-0.0025222738959200797,59
8857401,4,-0.002522173075703904,60
8N87325,6,-0.002520106915198994,61
8M31285,10,-0.0025157416148431366,62
8N05190,13,-0.0025028896725416416,63
8N72672,11,-0.0024953016982180998,64
8L30355,7,-0.0024698491025105795,65
8800104,10,-0.0024506052577635273,66
8732678,4,-0.0024284401633849484,67
8747114,6,-0.0024279839772134437,68
8N14803,9,-0.002399809637608996,69
8N14590,11,-0.0023900966398286982,70
8904640,7,-0.0023637799749849364,71
8M72406,13,-0.0023529954737568914,72
8800059,4,-0.0023060242674546316,73
8L30761,10,-0.002293641200139973,74
8L19656,3,-0.0022823612962383777,75
8747875,1,-0.002277514631714439,76
8651799,2,-0.0022735172915417934,77
8N73950,12,-0.002260240915347822,78
8L89326,10,-0.0022567250271094963,79
8N72394,6,-0.002250791980259237,80
8L30468,12,-0.0022454906356870197,81
8N72673,11,-0.002236713413367397,82
8816929,4,-0.0022296361421467736,83
8939375,7,-0.0022274999992077937,84
8730981,6,-0.0022188539369381033,85
8N14588,11,-0.0022021209533704678,86
8L89724,4,-0.002197539970438811,87
8N06889,11,-0.002173184364437475,88
8N28432,2,-0.002164380050089676,89
8N05199,13,-0.002162509981644689,90
8P26525,9,-0.0021483681703102775,91
8N14668,13,-0.0021473436427186243,92
8981029,0,-0.0021439159459077928,93
8N14587,11,-0.0021415067967609502,94
8L57927,3,-0.002133999378202134,95
8M31420,10,-0.0021253422019071877,96
8N73230,12,-0.002116101857609465,97
8N05264,13,-0.002100204564158048,98
8L48764,11,-0.0020794934480363736,99
8N05203,12,-0.002074301981338067,100
8N14002,6,-0.0020607716141967103,101
8N14605,13,-0.0020444338970264653,102
8P11834,15,-0.0020424122558324598,103
8747879,1,-0.0020351068906165892,104
8M71810,7,-0.002030205320352252,105
8M31197,8,-0.0020245442725581597,106
8800091,6,-0.0020123764045365533,107
8N05797,10,-0.002007599043281516,108
8934887,7,-0.001993787188666829,109
8N87339,4,-0.001992276775126811,110
8681240,3,-0.0019728372935787775,111
8887272,7,-0.001971771268927114,112
8N42143,2,-0.001962722046300769,113
8L89335,6,-0.0019558520566533844,114
8P14852,14,-0.0019513459174049785,115
8M31282,10,-0.001938266963861679,116
8N14592,11,-0.001930333320160571,117
8L64327,2,-0.0019271947021479718,118
8N28005,2,-0.001906402978420374,119
8168649,4,-0.0019028972262731259,120
8598602,6,-0.0018986165109708963,121
8681200,4,-0.001888538481523483,122
8N14758,2,-0.0018838077976397472,123
8N13671,13,-0.0018638451665538014,124
8N72965,2,-0.0018616807608395902,125
8P26527,9,-0.0018400040817141416,126
8N28250,7,-0.001839510417994461,127
8816947,4,-0.0018294998571946053,128
8L89230,6,-0.001820744240831118,129
8681017,4,-0.0018143302768294234,130
8N13663,13,-0.0018142380640711053,131
8N28499,2,-0.0018120426748282625,132
8N73681,13,-0.0018097201937052887,133
8M31716,6,-0.0018077620006806683,134
8N06864,11,-0.0018052124105452094,135
8L19926,10,-0.0017984667242672003,136
8L64560,12,-0.0017956422861971078,137
8N28644,8,-0.0017873564165711286,138
8L30667,13,-0.0017831017767093726,139
8N05194,13,-0.00176420645266262,140
8L30920,0,-0.0017585751604656252,141
8P14811,15,-0.0017422635246475693,142
8P14652,2,-0.0017358211309215221,143
8N05878,11,-0.0017316096605100029,144
8730932,3,-0.0017234372135135345,145
8732256,1,-0.0017190229947061653,146
8N73628,13,-0.0017150369403680088,147
8800027,4,-0.0017090642941184342,148
8N28650,2,-0.0017086073212340125,149
8857276,10,-0.0017067621411115397,150
8L19610,9,-0.0016932933995121857,151
8857104,7,-0.0016856405327416724,152
8M72009,6,-0.0016808504469736363,153
8981704,0,-0.0016789381425041938,154
8N05895,11,-0.0016733991144519678,155
8943515,11,-0.0016718561887500982,156
8887495,7,-0.0016705543885109364,157
8N05881,11,-0.0016650341376589495,158
8857269,1,-0.0016608130681561306,159
8M71502,4,-0.0016519697164767422,160
8N73313,15,-0.0016432775596513238,161
8917946,8,-0.001639226077713829,162
8N14119,4,-0.0016358483535441337,163
8N72496,2,-0.0016347748087355285,164
8L19928,10,-0.0016327074608852854,165
8M72737,4,-0.001625841177883558,166
8887305,7,-0.0016208763928489134,167
8N28429,2,-0.0016125136171467602,168
8N05445,6,-0.0016093219219328603,169
8800051,7,-0.0016084613521343272,170
8N73619,13,-0.0016014428165362915,171
8M71372,12,-0.0015938283559080446,172
8L52603,9,-0.0015905927157291444,173
8N73949,12,-0.0015865767090872396,174
8939379,7,-0.0015828756513656117,175
8681419,0,-0.0015778832930664066,176
8L89682,6,-0.0015778556935401866,177
8N72369,4,-0.0015767799777677283,178
8L57814,2,-0.001570995003930875,179
8L64144,8,-0.0015694256530878192,180
8N42734,4,-0.001567697399877943,181
8N05567,3,-0.0015460847216672846,182
8681287,7,-0.001542184705613181,183
8939916,11,-0.001541303283374873,184
8747590,2,-0.0015320434476961964,185
8N05170,12,-0.0015317589959522593,186
8N42735,4,-0.001529607904956265,187
8N73987,12,-0.0015265274339526513,188
8N06851,11,-0.0015238058322211145,189
8M72292,2,-0.0015228573274725932,190
8M31838,1,-0.0015162954459810862,191
8N28358,2,-0.0015135632451688252,192
8N06486,14,-0.001512799501142581,193
8N05253,13,-0.0014942172419978306,194
8N13951,4,-0.0014931544005776232,195
8730547,3,-0.0014920450998943124,196
8168602,10,-0.0014902944403729634,197
8917801,2,-0.0014814827263762709,198
8N06895,14,-0.001475263377670899,199
8857780,6,-0.0014727086327184225,200
8L52619,3,-0.0014713702927906525,201
8N73656,13,-0.0014625721578340745,202
8L30162,12,-0.0014606359909521416,203
8P26523,9,-0.0014566007466783049,204
8N27031,14,-0.0014535405171045568,205
8M31637,10,-0.0014524471818617712,206
8732667,2,-0.0014521977832373523,207
8651576,0,-0.0014498780603560135,208
8681059,6,-0.001445111684006406,209
8N05173,12,-0.0014420204315683804,210
8573187,4,-0.0014359391709604097,211
8N06999,6,-0.001433516328688711,212
8939374,7,-0.0014325496958917938,213
8N72957,13,-0.0014266764592321124,214
8N06673,14,-0.0014263682833188795,215
8887314,7,-0.0014213914869287692,216
8N73241,12,-0.0014208696188688918,217
8747757,7,-0.0014187617016432341,218
8M71328,11,-0.0014181415858729451,219
8N14604,13,-0.0014154620317867739,220
8N72376,4,-0.0014103788016655017,221
8N87858,14,-0.0014033603897587454,222
8681361,4,-0.001400254615873564,223
8732621,2,-0.0013987387209795088,224
8L52393,12,-0.001398673513904214,225
8N73992,12,-0.0013953875829884055,226
8N87973,13,-0.0013927926183896489,227
8N87918,13,-0.001389786574691243,228
8N87806,14,-0.0013861488432667102,229
8N42033,8,-0.0013847343216184527,230
8N87518,11,-0.0013827786938236386,231
8943014,10,-0.0013727894529438345,232
8N42709,4,-0.001372154689306626,233
8N14904,4,-0.0013708385295103653,234
8L52210,4,-0.0013687837272300385,235
8N87941,13,-0.0013671354772668565,236
8N05168,12,-0.0013652715424541384,237
8N13667,13,-0.0013548552924476098,238
8730448,1,-0.0013461143462336622,239
8730548,3,-0.0013426150482018784,240
8651884,0,-0.0013390542189881671,241
8N73624,13,-0.0013299629863467999,242
8N06394,4,-0.0013289453158904507,243
8N72938,13,-0.0013280532893986674,244
8N14550,11,-0.0013232055644039065,245
8L30782,4,-0.0013210113456807449,246
8L89466,6,-0.001317843218203052,247
8L48463,10,-0.00131537683228089,248
8L30059,13,-0.0013026439482928254,249
8N05671,15,-0.001290025047637755,250
8939460,3,-0.001283118524497695,251
8N27951,4,-0.0012813843336516584,252
8887304,7,-0.0012804204270651098,253
8L57988,13,-0.0012802092755919148,254
8N73930,12,-0.0012785439193976345,255
8N06560,4,-0.0012770487028319621,256
8M31844,0,-0.0012764888501806126,257
8794306,4,-0.0012763457707478665,258
8N72353,4,-0.0012758590878547693,259
8P26743,7,-0.0012654346273848205,260
8M71358,12,-0.0012607456212663237,261
8N73514,7,-0.0012574974680319428,262
8943263,11,-0.0012572471408702768,263
8N73232,12,-0.0012544152659756946,264
8118426,6,-0.0012544116871140432,265
8747940,4,-0.001252520046364225,266
8L30762,12,-0.0012516259594121948,267
