target_island,target_island_name,method,removal_fraction,cal_fraction,corr_eval,mse_adj,seed,epochs_trained
3,24,tracin,0.0,0.2,0.17831718921661377,1.1386456489562988,27,21
3,24,tracin,0.1,0.2,0.27191561460494995,1.0411121845245361,27,14
3,24,tracin,0.2,0.2,0.003371788654476404,1.0974195003509521,27,11
3,24,tracin,0.3,0.2,0.14299294352531433,1.151869535446167,27,12
3,24,tracin,0.4,0.2,0.17233994603157043,1.1247040033340454,27,16
3,24,tracin,0.5,0.2,0.13414809107780457,1.348620057106018,27,17
3,24,tracin,0.0,0.2,0.23212221264839172,0.9960659742355347,28,14
3,24,tracin,0.1,0.2,0.15875504910945892,1.0519882440567017,28,11
3,24,tracin,0.2,0.2,0.06334249675273895,1.0524884462356567,28,11
3,24,tracin,0.3,0.2,0.050730399787425995,1.0977234840393066,28,14
3,24,tracin,0.4,0.2,0.07343912869691849,1.1326297521591187,28,11
3,24,tracin,0.5,0.2,0.15808700025081635,1.091717004776001,28,12
3,24,tracin,0.0,0.2,0.18893840909004211,0.9846368432044983,29,15
3,24,tracin,0.1,0.2,0.2298365980386734,1.0494167804718018,29,14
3,24,tracin,0.2,0.2,0.19149234890937805,1.059259295463562,29,19
3,24,tracin,0.3,0.2,0.06391864269971848,1.1552717685699463,29,11
3,24,tracin,0.4,0.2,0.19033034145832062,1.2349060773849487,29,25
3,24,tracin,0.5,0.2,0.20465874671936035,1.1470717191696167,29,24
3,24,tracin,0.0,0.2,0.16335780918598175,1.0045897960662842,30,14
3,24,tracin,0.1,0.2,0.1614857017993927,1.035786747932434,30,16
3,24,tracin,0.2,0.2,0.26089802384376526,0.9706346392631531,30,22
3,24,tracin,0.3,0.2,0.15391457080841064,1.162152647972107,30,32
3,24,tracin,0.4,0.2,0.11397121846675873,1.1404141187667847,30,15
3,24,tracin,0.5,0.2,0.04322569817304611,1.1166218519210815,30,14
3,24,tracin,0.0,0.2,0.18381144106388092,1.0312873125076294,31,17
3,24,tracin,0.1,0.2,0.18469449877738953,1.0038760900497437,31,15
3,24,tracin,0.2,0.2,0.12475978583097458,1.0915848016738892,31,15
3,24,tracin,0.3,0.2,0.18042011559009552,1.0899497270584106,31,17
3,24,tracin,0.4,0.2,0.13108965754508972,1.2174434661865234,31,17
3,24,tracin,0.5,0.2,0.18009397387504578,1.2732179164886475,31,17
3,24,tracin,0.0,0.2,0.21587397158145905,1.007507562637329,32,19
3,24,tracin,0.1,0.2,0.22352172434329987,1.059810757637024,32,20
3,24,tracin,0.2,0.2,0.22031092643737793,1.05131196975708,32,15
3,24,tracin,0.3,0.2,0.18175998330116272,1.149407982826233,32,25
3,24,tracin,0.4,0.2,0.17688770592212677,1.1995595693588257,32,11
3,24,tracin,0.5,0.2,0.10558070242404938,1.295389175415039,32,20
3,24,tracin,0.0,0.2,0.22447329759597778,1.082533836364746,33,18
3,24,tracin,0.1,0.2,0.1934778094291687,1.0128945112228394,33,16
3,24,tracin,0.2,0.2,0.08227159827947617,1.075104832649231,33,14
3,24,tracin,0.3,0.2,0.18057134747505188,1.168001413345337,33,21
3,24,tracin,0.4,0.2,0.15286803245544434,1.2079600095748901,33,12
3,24,tracin,0.5,0.2,0.045764315873384476,1.3222655057907104,33,11
3,24,tracin,0.0,0.2,0.2022414654493332,1.1327522993087769,34,27
3,24,tracin,0.1,0.2,0.10622742772102356,1.0489249229431152,34,16
3,24,tracin,0.2,0.2,0.16032831370830536,1.079923391342163,34,20
3,24,tracin,0.3,0.2,0.1523037999868393,1.0525095462799072,34,15
3,24,tracin,0.4,0.2,0.12729083001613617,1.2058101892471313,34,13
3,24,tracin,0.5,0.2,0.11476041376590729,1.240694284439087,34,24
3,24,tracin,0.0,0.2,0.19253234565258026,1.1349550485610962,35,21
3,24,tracin,0.1,0.2,0.21670202910900116,1.0116252899169922,35,18
3,24,tracin,0.2,0.2,0.19591282308101654,1.02118980884552,35,19
3,24,tracin,0.3,0.2,0.16346578299999237,1.0968749523162842,35,22
3,24,tracin,0.4,0.2,0.060846686363220215,1.1662442684173584,35,11
3,24,tracin,0.5,0.2,0.07906395941972733,1.2109096050262451,35,13
3,24,tracin,0.0,0.2,0.1841937005519867,1.1318572759628296,36,22
3,24,tracin,0.1,0.2,-0.005674788728356361,1.0342059135437012,36,12
3,24,tracin,0.2,0.2,-0.14045017957687378,1.1054683923721313,36,11
3,24,tracin,0.3,0.2,-0.06147635728120804,1.190471887588501,36,13
3,24,tracin,0.4,0.2,-0.019874705001711845,1.2209694385528564,36,11
3,24,tracin,0.5,0.2,-0.12322115898132324,1.266347885131836,36,11
3,24,random,0.0,0.2,0.22175510227680206,1.0231252908706665,27,16
3,24,random,0.1,0.2,0.22280916571617126,1.090932011604309,27,18
3,24,random,0.2,0.2,0.13123507797718048,1.0234791040420532,27,18
3,24,random,0.3,0.2,0.2006394863128662,1.010862946510315,27,17
3,24,random,0.4,0.2,0.188523069024086,1.1238161325454712,27,19
3,24,random,0.5,0.2,0.07122799754142761,1.04058039188385,27,17
3,24,random,0.0,0.2,0.1845255047082901,1.010202407836914,28,15
3,24,random,0.1,0.2,0.20623265206813812,1.064647912979126,28,21
3,24,random,0.2,0.2,0.20362141728401184,1.0372943878173828,28,17
3,24,random,0.3,0.2,0.2255057990550995,1.0122109651565552,28,15
3,24,random,0.4,0.2,0.18986693024635315,1.0734878778457642,28,17
3,24,random,0.5,0.2,0.1682731807231903,1.0386136770248413,28,15
3,24,random,0.0,0.2,0.2080809772014618,1.0220953226089478,29,17
3,24,random,0.1,0.2,0.2129203826189041,1.01362943649292,29,17
3,24,random,0.2,0.2,0.012358542531728745,1.0089106559753418,29,12
3,24,random,0.3,0.2,0.21403194963932037,1.003927230834961,29,16
3,24,random,0.4,0.2,0.1834481805562973,1.0097986459732056,29,15
3,24,random,0.5,0.2,0.06450370699167252,1.0102598667144775,29,14
3,24,random,0.0,0.2,0.23486720025539398,0.9916262626647949,30,15
3,24,random,0.1,0.2,0.28602057695388794,1.0561562776565552,30,16
3,24,random,0.2,0.2,0.20563217997550964,1.0119168758392334,30,15
3,24,random,0.3,0.2,0.20070652663707733,1.0190730094909668,30,16
3,24,random,0.4,0.2,0.30266740918159485,0.9647166132926941,30,19
3,24,random,0.5,0.2,0.16658428311347961,1.0662249326705933,30,17
3,24,random,0.0,0.2,0.20683954656124115,1.028891921043396,31,20
3,24,random,0.1,0.2,0.22835101187229156,1.0866718292236328,31,19
3,24,random,0.2,0.2,0.2685425281524658,0.98216313123703,31,15
3,24,random,0.3,0.2,0.21725976467132568,1.0116816759109497,31,20
3,24,random,0.4,0.2,0.23371222615242004,0.9973189234733582,31,18
3,24,random,0.5,0.2,0.057202957570552826,1.0023796558380127,31,11
3,24,random,0.0,0.2,0.15312767028808594,1.0649057626724243,32,18
3,24,random,0.1,0.2,0.2856055200099945,0.9837223887443542,32,14
3,24,random,0.2,0.2,0.21865469217300415,1.014315128326416,32,16
3,24,random,0.3,0.2,0.17071016132831573,1.0205731391906738,32,16
3,24,random,0.4,0.2,0.14605069160461426,1.0693873167037964,32,17
3,24,random,0.5,0.2,0.07891508936882019,1.0017707347869873,32,13
3,24,random,0.0,0.2,0.14803358912467957,1.0173910856246948,33,17
3,24,random,0.1,0.2,0.10315445065498352,1.025805115699768,33,16
3,24,random,0.2,0.2,0.14609764516353607,1.0731351375579834,33,17
3,24,random,0.3,0.2,0.11266913264989853,1.0002137422561646,33,14
3,24,random,0.4,0.2,0.16767051815986633,0.9915593266487122,33,12
3,24,random,0.5,0.2,0.2789878845214844,0.9913852214813232,33,16
3,24,random,0.0,0.2,0.19571861624717712,1.031713604927063,34,21
3,24,random,0.1,0.2,0.15790677070617676,1.0278501510620117,34,17
3,24,random,0.2,0.2,0.1698857545852661,1.029763102531433,34,17
3,24,random,0.3,0.2,0.148310586810112,1.0390491485595703,34,17
3,24,random,0.4,0.2,0.10769136995077133,1.006662368774414,34,13
3,24,random,0.5,0.2,-0.009615449234843254,1.0067907571792603,34,12
3,24,random,0.0,0.2,0.15013620257377625,1.0945080518722534,35,17
3,24,random,0.1,0.2,0.19457511603832245,1.0487101078033447,35,19
3,24,random,0.2,0.2,0.1631232351064682,1.0021883249282837,35,17
3,24,random,0.3,0.2,0.17614339292049408,1.0870085954666138,35,17
3,24,random,0.4,0.2,0.12242363393306732,1.0523773431777954,35,17
3,24,random,0.5,0.2,0.1955122947692871,1.0258039236068726,35,19
3,24,random,0.0,0.2,0.11788945645093918,1.0209884643554688,36,16
3,24,random,0.1,0.2,0.15062279999256134,1.0045255422592163,36,15
3,24,random,0.2,0.2,0.1509770303964615,1.0650554895401,36,18
3,24,random,0.3,0.2,0.1751633882522583,1.0214310884475708,36,15
3,24,random,0.4,0.2,0.13674408197402954,1.0272293090820312,36,19
3,24,random,0.5,0.2,0.11711367219686508,0.9896805882453918,36,14
9,35,tracin,0.0,0.2,0.08961088210344315,1.159138798713684,27,25
9,35,tracin,0.1,0.2,0.06789391487836838,1.0476895570755005,27,18
9,35,tracin,0.2,0.2,0.04622138664126396,1.0963717699050903,27,23
9,35,tracin,0.3,0.2,0.07018088549375534,1.1115738153457642,27,28
9,35,tracin,0.4,0.2,0.09439586102962494,1.1054171323776245,27,11
9,35,tracin,0.5,0.2,0.14013215899467468,1.0899287462234497,27,14
9,35,tracin,0.0,0.2,0.1224142536520958,1.1898696422576904,28,28
9,35,tracin,0.1,0.2,0.05797009915113449,1.065292239189148,28,16
9,35,tracin,0.2,0.2,0.11749245971441269,1.0808238983154297,28,12
9,35,tracin,0.3,0.2,0.09722216427326202,1.1442019939422607,28,15
9,35,tracin,0.4,0.2,0.14090105891227722,1.1656343936920166,28,14
9,35,tracin,0.5,0.2,0.02756483480334282,1.3480144739151,28,11
9,35,tracin,0.0,0.2,0.1700679212808609,1.0243068933486938,29,19
9,35,tracin,0.1,0.2,0.13514961302280426,1.0414029359817505,29,17
9,35,tracin,0.2,0.2,0.046255942434072495,1.1041895151138306,29,27
9,35,tracin,0.3,0.2,0.1266678124666214,1.1061434745788574,29,28
9,35,tracin,0.4,0.2,0.13320615887641907,1.1108882427215576,29,20
9,35,tracin,0.5,0.2,0.18119271099567413,1.1902116537094116,29,17
9,35,tracin,0.0,0.2,0.21234896779060364,1.0089030265808105,30,16
9,35,tracin,0.1,0.2,0.022045757621526718,1.0607616901397705,30,15
9,35,tracin,0.2,0.2,0.09673598408699036,1.0741609334945679,30,20
9,35,tracin,0.3,0.2,0.1043897494673729,1.06422758102417,30,21
9,35,tracin,0.4,0.2,0.1418052762746811,1.142492651939392,30,20
9,35,tracin,0.5,0.2,0.05193176120519638,1.2951979637145996,30,11
9,35,tracin,0.0,0.2,-0.16118760406970978,1.0561479330062866,31,11
9,35,tracin,0.1,0.2,0.16712534427642822,1.0636968612670898,31,16
9,35,tracin,0.2,0.2,0.11437474936246872,1.0670665502548218,31,15
9,35,tracin,0.3,0.2,0.055817656219005585,1.1991257667541504,31,34
9,35,tracin,0.4,0.2,0.19579006731510162,1.0547627210617065,31,35
9,35,tracin,0.5,0.2,0.16005361080169678,1.1957778930664062,31,29
9,35,tracin,0.0,0.2,0.061371926218271255,1.0656235218048096,32,16
9,35,tracin,0.1,0.2,0.05031663924455643,1.0634132623672485,32,16
9,35,tracin,0.2,0.2,0.07883566617965698,1.087748408317566,32,20
9,35,tracin,0.3,0.2,0.021061712875962257,1.1626290082931519,32,34
9,35,tracin,0.4,0.2,0.08777705579996109,1.2533668279647827,32,16
9,35,tracin,0.5,0.2,-0.06297002732753754,1.236984372138977,32,12
9,35,tracin,0.0,0.2,0.1499597579240799,1.020759105682373,33,16
9,35,tracin,0.1,0.2,0.13207782804965973,1.060595989227295,33,16
9,35,tracin,0.2,0.2,0.11333757638931274,1.0943509340286255,33,19
9,35,tracin,0.3,0.2,0.08218643814325333,1.096660852432251,33,24
9,35,tracin,0.4,0.2,0.14719653129577637,1.1815739870071411,33,32
9,35,tracin,0.5,0.2,0.16305379569530487,1.1157492399215698,33,28
9,35,tracin,0.0,0.2,0.11489015072584152,1.132896900177002,34,21
9,35,tracin,0.1,0.2,0.03219994902610779,1.1312898397445679,34,28
9,35,tracin,0.2,0.2,0.07065027952194214,1.0671809911727905,34,14
9,35,tracin,0.3,0.2,0.11824029684066772,1.1052249670028687,34,19
9,35,tracin,0.4,0.2,0.11085590720176697,1.1491382122039795,34,19
9,35,tracin,0.5,0.2,0.10111474990844727,1.1997344493865967,34,23
9,35,tracin,0.0,0.2,0.16230711340904236,1.0378564596176147,35,25
9,35,tracin,0.1,0.2,0.10972215235233307,1.032680630683899,35,18
9,35,tracin,0.2,0.2,0.08648157119750977,1.0758098363876343,35,20
9,35,tracin,0.3,0.2,0.17297624051570892,1.0848356485366821,35,19
9,35,tracin,0.4,0.2,0.12472077459096909,1.1967244148254395,35,29
9,35,tracin,0.5,0.2,0.1306053251028061,1.3043867349624634,35,13
9,35,tracin,0.0,0.2,0.09643139690160751,1.061535120010376,36,17
9,35,tracin,0.1,0.2,-0.005057118367403746,1.0589014291763306,36,16
9,35,tracin,0.2,0.2,0.08709018677473068,1.0902941226959229,36,16
9,35,tracin,0.3,0.2,0.10426169633865356,1.1018210649490356,36,18
9,35,tracin,0.4,0.2,0.05898530036211014,1.2902517318725586,36,14
9,35,tracin,0.5,0.2,0.026921140030026436,1.4608267545700073,36,11
9,35,random,0.0,0.2,0.15042681992053986,1.0244289636611938,27,16
9,35,random,0.1,0.2,0.16720683872699738,1.0968968868255615,27,28
9,35,random,0.2,0.2,0.15162186324596405,1.0550025701522827,27,21
9,35,random,0.3,0.2,0.16832107305526733,1.032752513885498,27,20
9,35,random,0.4,0.2,-0.06430725008249283,1.0526760816574097,27,14
9,35,random,0.5,0.2,0.18914832174777985,1.012145757675171,27,21
9,35,random,0.0,0.2,0.12607520818710327,1.0867078304290771,28,20
9,35,random,0.1,0.2,0.06179105117917061,1.0998144149780273,28,20
9,35,random,0.2,0.2,0.10973460972309113,1.1954091787338257,28,30
9,35,random,0.3,0.2,0.026508746668696404,1.1307353973388672,28,19
9,35,random,0.4,0.2,0.08848129212856293,1.078338623046875,28,20
9,35,random,0.5,0.2,-0.08775036782026291,1.0636193752288818,28,15
9,35,random,0.0,0.2,0.11552424728870392,1.0475300550460815,29,12
9,35,random,0.1,0.2,0.09888847172260284,1.035056233406067,29,16
9,35,random,0.2,0.2,0.13546526432037354,1.0386677980422974,29,21
9,35,random,0.3,0.2,0.05107598006725311,1.0467908382415771,29,14
9,35,random,0.4,0.2,0.13786187767982483,1.0520731210708618,29,20
9,35,random,0.5,0.2,0.11087333410978317,1.0756295919418335,29,25
9,35,random,0.0,0.2,0.09144952893257141,1.0825889110565186,30,16
9,35,random,0.1,0.2,0.038810040801763535,1.0636215209960938,30,17
9,35,random,0.2,0.2,0.1186235249042511,1.0856174230575562,30,18
9,35,random,0.3,0.2,0.08273180574178696,1.1293975114822388,30,35
9,35,random,0.4,0.2,0.18384787440299988,1.0259240865707397,30,24
9,35,random,0.5,0.2,0.13213561475276947,1.0304744243621826,30,18
9,35,random,0.0,0.2,0.10369750112295151,1.1569268703460693,31,24
