target_island,method,removal_fraction,cal_fraction,corr_eval,mse_adj,n_train_remaining,seed,epochs_trained
5,tracin,0.0,0.2,0.13528236746788025,1.6081284284591675,4619,27,23
5,tracin,0.1,0.2,0.0745987519621849,1.6019893884658813,4158,27,21
5,tracin,0.2,0.2,0.10758842527866364,1.5903648138046265,3696,27,24
5,tracin,0.3,0.2,0.11666309833526611,1.5884989500045776,3234,27,26
5,tracin,0.4,0.2,0.06635230779647827,1.6079602241516113,2772,27,29
5,tracin,0.5,0.2,0.06691643595695496,1.6075941324234009,2310,27,35
5,tracin,0.0,0.2,0.13690723478794098,1.577695608139038,4619,28,21
5,tracin,0.1,0.2,0.12288997322320938,1.6043976545333862,4158,28,25
5,tracin,0.2,0.2,0.11118102818727493,1.6493993997573853,3696,28,20
5,tracin,0.3,0.2,0.07770825177431107,1.6644504070281982,3234,28,17
5,tracin,0.4,0.2,0.09261424094438553,1.7712867259979248,2772,28,20
5,tracin,0.5,0.2,0.08891550451517105,1.8484197854995728,2310,28,29
5,tracin,0.0,0.2,0.12758074700832367,1.5779247283935547,4619,29,20
5,tracin,0.1,0.2,0.07645877450704575,1.6973356008529663,4158,29,27
5,tracin,0.2,0.2,0.10184318572282791,1.628285527229309,3696,29,26
5,tracin,0.3,0.2,0.07986988872289658,1.740769863128662,3234,29,24
5,tracin,0.4,0.2,0.07020263373851776,1.7247264385223389,2772,29,23
5,tracin,0.5,0.2,0.06780333071947098,1.6866400241851807,2310,29,19
5,tracin,0.0,0.2,0.15601690113544464,1.563534140586853,4619,30,18
5,tracin,0.1,0.2,0.12555237114429474,1.5770740509033203,4158,30,22
5,tracin,0.2,0.2,0.12246770411729813,1.5759522914886475,3696,30,24
5,tracin,0.3,0.2,0.13465619087219238,1.5858010053634644,3234,30,19
5,tracin,0.4,0.2,0.14093461632728577,1.5730384588241577,2772,30,25
5,tracin,0.5,0.2,0.07193834334611893,1.6050341129302979,2310,30,16
5,tracin,0.0,0.2,0.12960413098335266,1.631934642791748,4619,31,21
5,tracin,0.1,0.2,0.1254613846540451,1.579453468322754,4158,31,19
5,tracin,0.2,0.2,0.12813711166381836,1.6159031391143799,3696,31,22
5,tracin,0.3,0.2,0.11173659563064575,1.671739101409912,3234,31,21
5,tracin,0.4,0.2,0.11410878598690033,1.6897501945495605,2772,31,22
5,tracin,0.5,0.2,0.13298872113227844,1.7501094341278076,2310,31,32
5,tracin,0.0,0.2,0.13234934210777283,1.5831561088562012,4619,32,22
5,tracin,0.1,0.2,0.09476245939731598,1.6042498350143433,4158,32,23
5,tracin,0.2,0.2,0.0746128112077713,1.6034815311431885,3696,32,24
5,tracin,0.3,0.2,0.07527372241020203,1.624336838722229,3234,32,29
5,tracin,0.4,0.2,0.10811720788478851,1.5823311805725098,2772,32,27
5,tracin,0.5,0.2,0.09786900132894516,1.592224359512329,2310,32,37
5,tracin,0.0,0.2,0.13642340898513794,1.585204839706421,4619,33,23
5,tracin,0.1,0.2,0.07755251228809357,1.6020536422729492,4158,33,20
5,tracin,0.2,0.2,0.06867878884077072,1.636875033378601,3696,33,25
5,tracin,0.3,0.2,0.0784519612789154,1.6076849699020386,3234,33,26
5,tracin,0.4,0.2,0.06158563867211342,1.6307940483093262,2772,33,28
5,tracin,0.5,0.2,0.04871121048927307,1.6164525747299194,2310,33,26
5,tracin,0.0,0.2,0.11173985153436661,1.5815980434417725,4619,34,19
5,tracin,0.1,0.2,0.13533364236354828,1.569596529006958,4158,34,20
5,tracin,0.2,0.2,0.13441450893878937,1.583209753036499,3696,34,22
